timestamp,odom_x,odom_y,lidar_x,lidar_y,kf_x,kf_y
1771936711,0.38,-0.03,0.33675818989297807,-0.01765375765157062,0.3511721265953187,-0.021769171767713747
1771936711,0.38,-0.03,0.33690093641509805,-0.01766123641243202,0.34380635101843066,-0.0196489470682135
1771936711,0.38,-0.03,0.3367578461512623,-0.017663723037653015,0.3395591750087267,-0.018452722331850132
1771936711,0.38,-0.03,0.33675818989297807,-0.01765375765157062,0.33792402147797485,-0.017986304316788347
1771936711,0.38,-0.03,0.3367581681353024,-0.017656250827323923,0.33724724611796897,-0.01779470897543825
1771936711,0.38,-0.03,0.3363309416918407,-0.017626373716398476,0.33671586303329126,-0.017697088024739002
1771936711,0.38,-0.03,0.3358841525715736,-0.02060767687726185,0.3362336225241989,-0.019384699176221296
1771936712,0.38,-0.03,0.3373291410834171,-0.017673695048571098,0.3369614949244719,-0.018247892619371594
1771936712,0.38,-0.03,0.3371859552918191,-0.017681166887610185,0.33710171133130523,-0.017893869115326255
1771936712,0.38,-0.03,0.33704336097992893,-0.017671199513458406,0.337067426133797,-0.01776303406293927
1771936712,0.38012655340619406,-0.03000006996853409,0.34040480785644156,-0.01470526388172259,0.3390600004465925,-0.015985994486485893
1771936713,0.3801265567739502,-0.029999628938286265,0.33704336097992893,-0.017671199513458406,0.33789027535554683,-0.016963291373406242
1771936713,0.3802024562215607,-0.030002017383058226,0.3395327912594664,-0.014650808024382417,0.3388745594209621,-0.015623427908844608
1771936713,0.3803289352126493,-0.030006368940425375,0.34101672373271286,-0.014988430729277732,0.3401697396720341,-0.01525708287643944
1771936713,0.3803289690565708,-0.030005747210059157,0.3386450542069482,-0.014899072240128599,0.3392857454886972,-0.015049248049459436
1771936713,0.38055603635178387,-0.030023839626289038,0.3407718599112066,-0.01486641250804397,0.34028381879148695,-0.014944297682717928
1771936714,0.38055597200209473,-0.03002451099446606,0.3455167787540757,-0.015012431953545012,0.3431514338622257,-0.014981938490749835
1771936714,0.3806313546998286,-0.030033640130163,0.34354894467155644,-0.011839925467686009,0.34341175191987544,-0.013181981153404798
1771936714,0.3805058823540444,-0.030017165848194718,0.3393341304553814,-0.011785910035751404,0.340998820566646,-0.012367011897273931
1771936714,0.38040622192685697,-0.029999342596380738,0.3387183692390405,-0.012022848956144,0.33963513454771516,-0.012160036297649867
1771936714,0.3803320896600866,-0.02998291214696605,0.3382921433304302,-0.011973049210112361,0.33882536293426274,-0.012044723168020747
1771936715,0.3802339100105003,-0.02995821167245064,0.3645807743341085,-0.009610253155333275,0.35371684586890817,-0.010622861571327202
1771936715,0.3802096537844758,-0.02995101066338174,0.3500051800824985,-0.012140174575307217,0.3515546483209626,-0.011499566038710043
1771936715,0.3801616480981687,-0.029934940833162303,0.3698946900049113,-0.008958014819439206,0.36216795387530043,-0.01001923289771153
1771936715,0.3802810178269735,-0.02997696805055985,0.3563821119643808,-0.00499597946315552,0.3588635063041604,-0.007124431330079508
1771936716,0.3802343842193202,-0.029957274650297943,0.36483218768849346,-0.0026289952562995804,0.3623045276162658,-0.004509720715313522
1771936716,0.3802806365804475,-0.029977842237495646,0.34436373788801117,0.0010691178573536758,0.351921966789893,-0.0012837755900825423
1771936716,0.3801217080039861,-0.029899544224009346,0.3439523935201644,0.0038368560842720707,0.34723445846777895,0.0017180467910035697
1771936716,0.3801215134067655,-0.02989991595987153,0.33669847308889445,0.0041377324256435845,0.34112565560281854,0.003120814389265448
1771936716,0.3790641725474408,-0.029251792717276882,0.33873977757727136,0.006087249500838558,0.33929803434536254,0.005113085341710655
1771936716,0.37701463131405283,-0.027900360987116707,0.37830821115984925,0.009596279257499242,0.36105474917272207,0.008280299937829777
1771936717,0.37288919644722557,-0.02496720668430101,0.38585231817606347,0.008746722480411421,0.37369875328200514,0.009783253286783176
1771936717,0.3684595539506311,-0.021511323009168044,0.33475023741571736,0.013668431557393152,0.3492552096326909,0.0134880402070266
1771936717,0.363833528117211,-0.017345926697810255,0.32504677558380585,0.014395960902789467,0.3332753838603471,0.01576476552151594
1771936717,0.36000366549807344,-0.013305541303372252,0.3184337672404101,0.017125125018205792,0.3230609514515254,0.018251282896282257
1771936717,0.3559189314173433,-0.008244817308533093,0.3253310144292641,0.020523519796977505,0.32266070263228297,0.02169525351478347
1771936718,0.3525244052504839,-0.003423414326406876,0.3245209542440643,0.023733343065415358,0.32231287506172146,0.02490290278894902
1771936718,0.3494290000991824,0.0016839583533654109,0.3184902871580493,0.02610446430132576,0.31879585233414387,0.027745702178966172
1771936718,0.3471020164304773,0.006150178751069937,0.3084363137274436,0.03011516083903181,0.31181162626905223,0.030996228723963577
1771936718,0.34452594525061975,0.011818085649266851,0.30514909366665294,0.03257929632647738,0.3068662415226933,0.034295762558156355
1771936719,0.34241116642403807,0.016886968923920637,0.30516298323422864,0.03798355076681593,0.30499006061568973,0.038563892580023316
1771936719,0.33993861206660725,0.022903545622386317,0.3004832743499262,0.0428384322105179,0.3013380669440307,0.04357044333386012
1771936719,0.337874982265723,0.028156963661580832,0.29784336513648557,0.04755730843680744,0.2984447074652108,0.04808951917714174
1771936719,0.3357023716206294,0.03409976592523424,0.29469683663463814,0.055145606678355295,0.2953587674276905,0.05467779965384929
1771936719,0.33392805431195655,0.039457616562442815,0.291420841304486,0.05991043530267691,0.2923299986053941,0.059963051154537504
1771936719,0.3322883274240939,0.04530592535783227,0.2875377723483102,0.06170954034611213,0.2888624655176048,0.06343314177293632
1771936720,0.3311060853905326,0.050643044182703545,0.288366705916176,0.06991308752542655,0.2880782431816343,0.06943286696155164
1771936720,0.33036900655860757,0.05498469288377736,0.2844461940848163,0.0744237679004036,0.28577428643911734,0.07412591788672206
1771936720,0.3294328069372108,0.06307965408634555,0.2848370553851228,0.07983919244996325,0.28483749593455726,0.08085646755286544
1771936720,0.328813822540333,0.07500781500362774,0.2861978048257707,0.09705688409245725,0.2854285127370608,0.09539638614050466
1771936720,0.32899792628977353,0.0872296505057468,0.28014798398622975,0.10014625068182637,0.28241421577152087,0.1032449436111843
1771936721,0.32988829574524303,0.0992683913248468,0.2804656706328613,0.11173873707514156,0.28165584595590587,0.11322490677968577
1771936721,0.33136116084862,0.1105613233307984,0.27543394915305663,0.12067958563976437,0.27866600493334165,0.12229177954745085
1771936721,0.33343013416052364,0.12194074116387663,0.27609152833018036,0.13265011072607602,0.2780425849560853,0.1330791447243389
1771936721,0.33575355022807557,0.13316855737254035,0.2823133130175914,0.14848855483764414,0.2814950549006885,0.14673145419599667
