sec,nanosec,odom_x,odom_y,lidar_x,lidar_y,kf_x,kf_y,opti_tb2_x,opti_tb2_y,opti_tb1_x,opti_tb1_y
0,0,0.41,0.006,0.0,0.0,0.41,0.006,0.41,0.006,0.0,0.0
1772619142,88673719,0.41,0.006,0.0,0.0,0.41,0.006,0.43046924471855164,-0.03342197462916374,0.027340712025761604,-0.05158469080924988
1772619142,198756444,0.41,0.006,0.0,0.0,0.41,0.006,0.43056321144104004,-0.033375050872564316,0.02736549638211727,-0.05158838629722595
1772619142,248775502,0.41,0.006,0.0,0.0,0.41,0.006,0.43045884370803833,-0.03342607989907265,0.02735585719347,-0.051583126187324524
1772619142,298747180,0.41,0.006,0.0,0.0,0.41,0.006,0.43050244450569153,-0.033416181802749634,0.027353646233677864,-0.05158939212560654
1772619142,348987749,0.41,0.006,0.0,0.0,0.41,0.006,0.43048813939094543,-0.03341720625758171,0.02735871635377407,-0.05159245431423187
1772619142,398807495,0.41,0.006,0.0,0.0,0.41,0.006,0.43048959970474243,-0.03340819105505943,0.027340523898601532,-0.051586683839559555
1772619142,448761890,0.41,0.006,0.0,0.0,0.41,0.006,0.4304751455783844,-0.03340819478034973,0.027342885732650757,-0.05159056559205055
1772619142,498765421,0.41,0.006,0.0,0.0,0.41,0.006,0.4304976761341095,-0.033407676964998245,0.027337156236171722,-0.05157630145549774
1772619142,548775382,0.41,0.006,0.0,0.0,0.41,0.006,0.4305860102176666,-0.03335484862327576,0.027369050309062004,-0.051572348922491074
1772619142,598776970,0.41,0.006,0.0,0.0,0.41,0.006,0.43048906326293945,-0.03340956196188927,0.0273329708725214,-0.05159541964530945
1772619142,648702312,0.41,0.006,0.0,0.0,0.41,0.006,0.4304834306240082,-0.03342606872320175,0.02725755237042904,-0.05158384144306183
1772619142,698769696,0.41,0.006,0.0,0.0,0.41,0.006,0.430502325296402,-0.03342974931001663,0.02734275907278061,-0.05159097909927368
1772619142,748763470,0.41,0.006,0.0,0.0,0.41,0.006,0.43057486414909363,-0.03337547555565834,0.027358589693903923,-0.05158454179763794
1772619142,798688766,0.41,0.006,0.0,0.0,0.41,0.006,0.4304945766925812,-0.033401377499103546,0.027347924187779427,-0.0515885204076767
1772619142,848757673,0.41,0.006,0.0,0.0,0.41,0.006,0.43048378825187683,-0.03340830281376839,0.02765510231256485,-0.05111778527498245
1772619142,898776436,0.41,0.006,0.0,0.0,0.41,0.006,0.43049606680870056,-0.03342123702168465,0.027352171018719673,-0.05158230662345886
1772619142,948764004,0.41,0.006,0.0,0.0,0.41,0.006,0.4305741786956787,-0.03338833898305893,0.02735358476638794,-0.05159560590982437
1772619142,998757138,0.41,0.006,0.0,0.0,0.41,0.006,0.4304807186126709,-0.0334005206823349,0.027332697063684464,-0.051582690328359604
1772619143,48845070,0.41,0.006,0.0,0.0,0.41,0.006,0.43048998713493347,-0.0334039069712162,0.02772027999162674,-0.051077790558338165
1772619143,98792815,0.41,0.006,0.0,0.0,0.41,0.006,0.430507630109787,-0.03342714160680771,0.027326954528689384,-0.05159690976142883
1772619143,148816132,0.41,0.006,0.0,0.0,0.41,0.006,0.4305686354637146,-0.033391859382390976,0.027355022728443146,-0.051591772586107254
1772619143,198756174,0.41,0.006,0.0,0.0,0.41,0.006,0.43050333857536316,-0.03340711072087288,0.02736007422208786,-0.05158574506640434
1772619143,248759751,0.41,0.006,0.0,0.0,0.41,0.006,0.4304879605770111,-0.033405374735593796,0.02771458961069584,-0.0510810986161232
1772619143,298798771,0.41,0.006,0.0,0.0,0.41,0.006,0.4305093288421631,-0.03341779112815857,0.027372606098651886,-0.051580481231212616
1772619143,348804144,0.41,0.006,0.0,0.0,0.41,0.006,0.43057435750961304,-0.03334425017237663,0.027364114299416542,-0.0515768900513649
1772619143,398847517,0.41,0.006,0.0,0.0,0.41,0.006,0.4305053949356079,-0.033418625593185425,0.02732929401099682,-0.05159858986735344
1772619143,448757538,0.41,0.006,0.0,0.0,0.41,0.006,0.4304940700531006,-0.03340692073106766,0.027656950056552887,-0.051118139177560806
1772619143,498757273,0.41,0.006,0.0,0.0,0.41,0.006,0.4304983913898468,-0.03340879827737808,0.027362771332263947,-0.0515730045735836
1772619143,548803144,0.41,0.006,0.0,0.0,0.41,0.006,0.4305257201194763,-0.03337322920560837,0.02733665145933628,-0.05158687382936478
1772619143,598790549,0.41,0.006,0.0,0.0,0.41,0.006,0.4304852783679962,-0.033407777547836304,0.027348926290869713,-0.05158000439405441
