timestamp,odom_x,odom_y,lidar_x,lidar_y,kf_x,kf_y,opti_tb2_x,opti_tb2_y,opti_tb1_x,opti_tb1_y
1772554158,0.42,0.006,0.538675234965911,0.22823920854164945,0.4202368767164988,0.006443591234614071,0.42158034443855286,-0.00939132459461689,-0.06977596133947372,-0.1094353049993515
1772554158,0.42,0.006,0.5392296061872194,0.22847045239049132,0.42047391402620143,0.006885875818589922,0.42157116532325745,-0.009391289204359055,-0.06977798044681549,-0.10943801701068878
1772554159,0.42,0.006,0.5374900200352017,0.2279701936504084,0.4207065504198575,0.007325407265571669,0.42177674174308777,-0.009390211664140224,-0.06977634131908417,-0.109433114528656
1772554159,0.42,0.006,0.5331049574483429,0.2260141723760084,0.4209295631322156,0.007759313545552694,0.421516090631485,-0.009373364970088005,-0.0697835236787796,-0.10944293439388275
1772554159,0.42,0.006,0.5395597286886186,0.22871738778075387,0.42116447435113913,0.008196854286612498,0.42162686586380005,-0.009333734400570393,-0.06977972388267517,-0.10944616049528122
1772554159,0.42,0.006,0.5321441703736178,0.23106568795392216,0.42138380181363416,0.008637306527061727,0.42177721858024597,-0.0093845184892416,-0.06977898627519608,-0.10944005101919174
1772554159,0.42,0.006,0.5392221473003223,0.22848782345578855,0.42161622458579723,0.009070936737966514,0.42157644033432007,-0.009345686063170433,-0.06978321820497513,-0.10943213105201721
1772554160,0.42,0.006,0.5297200785688018,0.22478287806448724,0.4218290274479685,0.009495566543727381,0.42175668478012085,-0.009400701150298119,-0.0685320794582367,-0.10935808718204498
1772554160,0.42,0.006,0.5310398494062983,0.2252485461514901,0.4220435870195959,0.009919442731561886,0.42177826166152954,-0.009383945725858212,-0.06978993117809296,-0.10943752527236938
1772554160,0.42,0.006,0.5346043184426437,0.23237868062398567,0.4222642943361117,0.010355637315664678,0.4217706024646759,-0.009383989498019218,-0.06977299600839615,-0.10944097489118576
1772554160,0.4199999999725057,0.0059999993560199485,0.5309962547018482,0.22534930363219097,0.42248574086313373,0.01079349879261997,0.4217706322669983,-0.00939185731112957,-0.06978614628314972,-0.10944054275751114
1772554160,0.4199999999725057,0.0059999993560199485,0.5395625703405541,0.22871038072240799,0.42272603016253313,0.011240752917282736,0.4216097295284271,-0.009318709373474121,-0.0697900578379631,-0.10944335162639618
1772554161,0.4199999999725057,0.0059999993560199485,0.5328998570270459,0.2259846679901984,0.42295607729220097,0.01168914635774039,0.42161449790000916,-0.009315247647464275,-0.06978832930326462,-0.10944417119026184
1772554161,0.4199999999725057,0.0059999993560199485,0.5390526897499935,0.22837480835929663,0.4232049226902471,0.012153597720016566,0.4216265082359314,-0.00933206919580698,-0.06977184116840363,-0.10943789780139923
1772554161,0.4199999999725057,0.0059999993560199485,0.5308694315108238,0.2251391824863411,0.423441632728368,0.01262186554979185,0.4215690493583679,-0.0093868188560009,-0.06978127360343933,-0.10943928360939026
1772554161,0.41999999997487625,0.005999999417451082,0.5301361613015657,0.22481967818845722,0.42369056526369125,0.013116951345041249,0.4215529263019562,-0.009347551502287388,-0.06977511942386627,-0.10942761600017548
1772554161,0.41999999997487625,0.005999999417451082,0.5397740389376916,0.22872211997124547,0.4239653945873433,0.013627399738718921,0.42155522108078003,-0.009389999322593212,-0.06978762149810791,-0.10944582521915436
1772554162,0.41999999997487625,0.005999999417451082,0.531604086087396,0.22545516082063233,0.4242281986440905,0.014144585465971872,0.4215826690196991,-0.009344223886728287,-0.06977488845586777,-0.10944098234176636
1772554162,0.41999999997487625,0.005999999417451082,0.5330687820700624,0.23173161637487433,0.424501954128337,0.014691859664044758,0.421547532081604,-0.009399089962244034,-0.06977184116840363,-0.109439417719841
1772554162,0.41999999997487625,0.005999999417451082,0.5318198029860204,0.22545218544843462,0.4247797441436678,0.015237408375223383,0.4215516448020935,-0.009404178708791733,-0.06977669149637222,-0.10944437980651855
1772554162,0.41999999997487625,0.005999999417451082,0.5401074660665589,0.23475438688771802,0.4250820859582251,0.015812891533158083,0.421539843082428,-0.009408785961568356,-0.06978201121091843,-0.10943835973739624
1772554162,0.41999999997487625,0.005999999417451082,0.5392179128424583,0.22849834626016996,0.4253941438794689,0.016394393263970644,0.4216042757034302,-0.009368027560412884,-0.06978520005941391,-0.10944133251905441
1772554163,0.4199999999724398,0.0059999993543240135,0.5247259925862245,0.22272063053261953,0.4256728884856469,0.016973385004774553,0.4215395748615265,-0.009343489073216915,-0.06978365033864975,-0.10944879800081253
1772554163,0.4199999999724398,0.0059999993543240135,0.5354936506070591,0.22704054267105953,0.42598894051114305,0.01757793508609024,0.4215845763683319,-0.009382241405546665,-0.06977901607751846,-0.10944908857345581
1772554163,0.4199999999724398,0.0059999993543240135,0.5310279499358531,0.22527639455534126,0.42629871801355534,0.018190472374680966,0.42158302664756775,-0.009382634423673153,-0.06977763026952744,-0.1094435304403305
1772554163,0.42002528993125643,0.005998975231669475,0.5413078987336682,0.23533473060725646,0.42667126140614225,0.01884523093971968,0.42140501737594604,-0.009785642847418785,-0.06977135688066483,-0.10944551229476929
1772554163,0.42002515846373983,0.005997231738581985,0.5252278610739642,0.2230736122067587,0.4269757133769546,0.019474647925406346,0.42150789499282837,-0.01108725555241108,-0.06978043913841248,-0.10944268107414246
1772554164,0.42010058937434647,0.005988441720903434,0.5198203348690195,0.22097611418593344,0.4273443336888359,0.020102714508702817,0.4212155044078827,-0.011980823241174221,-0.06977634876966476,-0.1094360426068306
1772554164,0.41982682874722943,0.006038969236402631,0.5272783249312593,0.2238698819061275,0.42739423923103337,0.020811236872165923,0.4199499189853668,-0.013287109322845936,-0.06978339701890945,-0.10944204777479172
1772554164,0.4196781955847905,0.0060702926686095155,0.5280589400097416,0.224587944104187,0.42757819246049317,0.02151472279930181,0.4193092882633209,-0.01443458441644907,-0.06976910680532455,-0.10944101214408875
1772554164,0.4197754637599129,0.006042192020667707,0.5376720162614274,0.2285527414722721,0.4280458907968036,0.022183948858730346,0.41896387934684753,-0.015755385160446167,-0.06976974010467529,-0.10944177210330963
1772554164,0.4197273140750827,0.006057927062356233,0.5183998983871674,0.20995885241869558,0.42830834546786584,0.02284478814746683,0.4194065034389496,-0.016905033960938454,-0.0697738453745842,-0.10943964123725891
1772554165,0.41988952427277537,0.005986708285248421,0.5219588424186667,0.21115610676894586,0.42879809087878773,0.023433565576284253,0.41882574558258057,-0.017694326117634773,-0.06977439671754837,-0.10944138467311859
1772554165,0.4199800861009761,0.00594146446293573,0.5181030793631468,0.20945823114653528,0.42920721010416163,0.02405272041963576,0.41798481345176697,-0.018629778176546097,-0.06977985054254532,-0.10943567007780075
1772554165,0.41991387667404023,0.005978614559367211,0.5179862634747847,0.2041694252217757,0.42946416774035095,0.024744894531874752,0.4170713722705841,-0.019698312506079674,-0.06978374719619751,-0.10943842679262161
1772554165,0.420040726809488,0.005895143346022568,0.5175693367809937,0.20347378597448149,0.42991685848533057,0.025323681133463255,0.4170878529548645,-0.02026800625026226,-0.06978143006563187,-0.10944051295518875
1772554165,0.42002070154537685,0.005910637690619186,0.5221208167433263,0.205945808245395,0.4302462914551507,0.026023536232310154,0.4173206686973572,-0.019402630627155304,-0.06979131698608398,-0.10945338010787964
1772554166,0.4200610187266915,0.0058800223996263125,0.5833457060602669,0.23585723683183582,0.43087350976535654,0.026797640203244495,0.4177594780921936,-0.018349183723330498,-0.06978289783000946,-0.10944667458534241
1772554166,0.4199853421249271,0.005947247221885824,0.5157824842914921,0.2057934356187202,0.4311426957808881,0.027590946433674164,0.4211510419845581,-0.014043442904949188,-0.0697854608297348,-0.10944454371929169
