timestamp,tb1_gt_x,tb1_gt_y,tb2_kf_x,tb2_kf_y,tb2_gt_x,tb2_gt_y,tb3_kf_x,tb3_kf_y,tb3_gt_x,tb3_gt_y
1775832980.6441495,-0.24001729488372803,-1.1989855766296387,-0.5312269708290227,-1.0511257242303582,-0.5013160109519958,-1.0835508108139038,0.20730839130769813,-1.286815919229527,0.20590904355049133,-1.265958547592163
1775832980.8443618,-0.24000656604766846,-1.19899582862854,-0.5308729980315228,-1.0508204616495056,-0.5013166666030884,-1.083550214767456,0.20280184886084088,-1.282032657840051,0.20591507852077484,-1.2659589052200317
1775832981.046019,-0.24001963436603546,-1.1989854574203491,-0.5309185320083145,-1.0510149797849422,-0.5013135671615601,-1.0835453271865845,0.20045210566984162,-1.2809709902077444,0.20590834319591522,-1.2659599781036377
1775832981.2462468,-0.240015909075737,-1.1989903450012207,-0.5304323871921377,-1.050527175933426,-0.5013167262077332,-1.0835418701171875,0.19988396341553802,-1.277726630820975,0.2059083729982376,-1.265962839126587
1775832981.4476233,-0.2400178611278534,-1.198986530303955,-0.5291881248010332,-1.0507485225188773,-0.5013103485107422,-1.0835394859313965,0.19946538733432248,-1.2794873151700747,0.205909863114357,-1.265953779220581
1775832981.646945,-0.24001717567443848,-1.1989929676055908,-0.5292636819047617,-1.0507220774165829,-0.5013119578361511,-1.0835384130477905,0.19961688697779445,-1.2803033812596996,0.20590610802173615,-1.2659573554992676
1775832981.8480818,-0.24001586437225342,-1.198989987373352,-0.528967370101461,-1.0505764875067434,-0.5013052225112915,-1.0835318565368652,0.20012752608685103,-1.2785237860107692,0.20590190589427948,-1.2659575939178467
1775832982.048238,-0.24002115428447723,-1.1989870071411133,-0.5279082682572432,-1.050664165189533,-0.5013018250465393,-1.0835316181182861,0.19833734480823004,-1.2764879292146614,0.20590446889400482,-1.265956997871399
1775832982.250609,-0.24001333117485046,-1.19899320602417,-0.5274556167335536,-1.0492717425713114,-0.5012974739074707,-1.0835297107696533,0.1980600883494674,-1.2777691926173025,0.205898717045784,-1.2659530639648438
1775832982.4482312,-0.24001671373844147,-1.1989883184432983,-0.5277731045138843,-1.0500996936169835,-0.5013018250465393,-1.083527684211731,0.19631544090682806,-1.2762187452312865,0.2059122771024704,-1.2659578323364258
1775832982.6499798,-0.2400159239768982,-1.1989890336990356,-0.5284093867522146,-1.0504473566716226,-0.5012933015823364,-1.083528757095337,0.19705036394588177,-1.2779729872740855,0.20589986443519592,-1.265950322151184
1775832982.850841,-0.24000205099582672,-1.1990242004394531,-0.5222073564934604,-1.0490418926597835,-0.5012949705123901,-1.0835299491882324,0.2003136621928779,-1.2810332853475013,0.20591431856155396,-1.2659587860107422
1775832983.0522902,-0.23981605470180511,-1.1991215944290161,-0.5227378192488837,-1.048746902958522,-0.501285195350647,-1.0835394859313965,0.20213410696156384,-1.2793269475742313,0.20591241121292114,-1.265960454940796
1775832983.2534695,-0.23982049524784088,-1.199142336845398,-0.5251436686410867,-1.0501878604840402,-0.5012853741645813,-1.0835362672805786,0.2032767881932091,-1.2780237720210084,0.20591038465499878,-1.265960931777954
1775832983.454051,-0.24002081155776978,-1.1989896297454834,-0.5258901888406101,-1.0510050738814225,-0.5011597275733948,-1.0831162929534912,0.20159544104966426,-1.2788129857921324,0.20590732991695404,-1.2659597396850586
1775832983.653814,-0.24001775681972504,-1.1989901065826416,-0.5214571044622341,-1.0484256044386442,-0.5005097389221191,-1.0814388990402222,0.2010504255869109,-1.2770683902850712,0.2059074193239212,-1.265958309173584
1775832983.8552725,-0.24001991748809814,-1.1989864110946655,-0.5219214048638163,-1.0470000714968941,-0.4995444118976593,-1.0786542892456055,0.20253505098463595,-1.2767425038929785,0.20590902864933014,-1.2659599781036377
1775832984.056152,-0.240014910697937,-1.1989946365356445,-0.5170244074416159,-1.0468110252571543,-0.4986600875854492,-1.074837327003479,0.1996508743381744,-1.275225629351144,0.20591409504413605,-1.2659595012664795
1775832984.2556353,-0.24001343548297882,-1.1989907026290894,-0.5189895328781713,-1.044876694151043,-0.4978838264942169,-1.0716279745101929,0.20125671983447016,-1.2753478759005783,0.2059076875448227,-1.2659621238708496
1775832984.4557595,-0.24000996351242065,-1.198988437652588,-0.5189974939979726,-1.0406209759777172,-0.49671217799186707,-1.0679521560668945,0.19774824772908195,-1.2744985085183553,0.20591019093990326,-1.265960454940796
1775832984.6567638,-0.24001963436603546,-1.198986530303955,-0.5176198296178987,-1.0359168970089883,-0.4954948127269745,-1.0636922121047974,0.19768696702960997,-1.2767997438241143,0.20589199662208557,-1.2659529447555542
1775832984.8606708,-0.24001672863960266,-1.1989946365356445,-0.518864633650814,-1.0323902345031852,-0.4948875606060028,-1.0601108074188232,0.1980758096283312,-1.2754051880582655,0.20590472221374512,-1.2659518718719482
1775832985.2594867,-0.24001556634902954,-1.1989951133728027,-0.512781963126403,-1.0297879322152115,-0.49268659949302673,-1.0530835390090942,0.1955741050124283,-1.2743260041894084,0.20590487122535706,-1.2659589052200317
1775832985.4593744,-0.24000898003578186,-1.1990160942077637,-0.5137726612541855,-1.0237791858799712,-0.4918733835220337,-1.0486489534378052,0.1985597545412886,-1.2749965356392983,0.20591549575328827,-1.2654528617858887
1775832985.6608164,-0.2398206740617752,-1.1991215944290161,-0.5133449299448596,-1.018623140377157,-0.490776389837265,-1.0446754693984985,0.19894786305783707,-1.27464724287704,0.20605048537254333,-1.2634683847427368
1775832985.8605304,-0.23981469869613647,-1.1991469860076904,-0.5113179693413273,-1.0152928670664745,-0.48954424262046814,-1.0408581495285034,0.1982183903935855,-1.2752334428363408,0.20629335939884186,-1.2597739696502686
1775832986.0616372,-0.2398148626089096,-1.1991416215896606,-0.5115927082473757,-1.009843277867903,-0.48886802792549133,-1.0375992059707642,0.1993047117807351,-1.2712474364908002,0.20674823224544525,-1.2554800510406494
1775832986.262121,-0.23981423676013947,-1.1991406679153442,-0.5066071671508621,-1.0067203468527228,-0.4877978265285492,-1.0344033241271973,0.19900267387706783,-1.2728602109841076,0.20749996602535248,-1.250955581665039
1775832986.4643424,-0.24000734090805054,-1.198992133140564,-0.5012134586384712,-1.0072746698479664,-0.48642948269844055,-1.0303874015808105,0.19961318843717013,-1.2687469764584642,0.20778514444828033,-1.2449002265930176
1775832986.6641254,-0.2400166541337967,-1.1989898681640625,-0.5022765635059531,-1.0012518465626534,-0.48537424206733704,-1.026341199874878,0.1990245225647221,-1.2615181429058686,0.20835907757282257,-1.2383898496627808
1775832986.864293,-0.2400098443031311,-1.1989867687225342,-0.49973757785993145,-0.9972916607953051,-0.48468005657196045,-1.0233237743377686,0.20426487056156986,-1.258390428432132,0.2091432362794876,-1.2298698425292969
1775832987.0655403,-0.24002084136009216,-1.1989842653274536,-0.5011029113475276,-0.9913137444121543,-0.48355215787887573,-1.0196377038955688,0.20775106611745475,-1.2538570648831984,0.20973245799541473,-1.2224595546722412
1775832987.2653637,-0.2400100827217102,-1.1989902257919312,-0.49963540596903716,-0.9871066773784433,-0.4823473393917084,-1.0153400897979736,0.2057252023050872,-1.2435091948054737,0.2107386738061905,-1.2145622968673706
1775832987.4656982,-0.24002504348754883,-1.1989850997924805,-0.4950416302184932,-0.9848976066294189,-0.48094508051872253,-1.0114983320236206,0.21004644611874346,-1.2388009334281487,0.21134446561336517,-1.2066199779510498
1775832987.6669862,-0.2400149703025818,-1.1989896297454834,-0.49549746455100296,-0.9796616525769681,-0.4797805845737457,-1.0081621408462524,0.21175156572271728,-1.2304225411273757,0.21193331480026245,-1.1995296478271484
1775832987.8684208,-0.24001678824424744,-1.1989914178848267,-0.4952192380349011,-0.9753444346097512,-0.4790722131729126,-1.004134178161621,0.21357316911126517,-1.224001127379498,0.21234692633152008,-1.1912323236465454
1775832988.068279,-0.24000972509384155,-1.198988914489746,-0.49680740822107955,-0.9711268167332986,-0.4781189262866974,-1.0008232593536377,0.21313528772475956,-1.2155634818888865,0.21295662224292755,-1.1844310760498047
1775832988.268584,-0.24001482129096985,-1.1989872455596924,-0.4949687022402009,-0.9672168307428658,-0.4775714576244354,-0.9975461363792419,0.21501574814966476,-1.2083430151293553,0.21447227895259857,-1.1768310070037842
