ts,leg_x,leg_y,db_x,db_y,odom_x,odom_y,gt_x,gt_y,gt_obs_x,gt_obs_y
1773916745.3636622,0.3035187605390625,-0.24684886389225266,0.3293414831685882,-0.2207904812227818,0.3021738827228546,-0.24424715340137482,0.3022087812423706,-0.24416732788085938,-0.28686898946762085,-0.11371447145938873
1773916745.5117297,0.3046448246153776,-0.24910625075676696,0.3293201532661979,-0.22080861196174278,0.3021738827228546,-0.24424715340137482,0.3021838366985321,-0.2442348599433899,-0.28691068291664124,-0.11339254677295685
1773916745.7118874,0.3059543991421117,-0.25119801791263735,0.3294265932857696,-0.22070712102922505,0.3021738827228546,-0.24424715340137482,0.30219173431396484,-0.24424335360527039,-0.28691139817237854,-0.11341584473848343
1773916745.9818726,0.3070494247362104,-0.2530647011761304,0.32948825862930997,-0.2206502153125439,0.3021738827228546,-0.24424715340137482,0.30224254727363586,-0.2441786229610443,-0.28688856959342957,-0.11372513324022293
1773916746.1130028,0.3078145844198706,-0.2546505049403851,0.3294607965473905,-0.22067355666900978,0.3021738827228546,-0.24424715340137482,0.30218860507011414,-0.24424336850643158,-0.2869065999984741,-0.1134059876203537
1773916746.3145237,0.30877268606505237,-0.25617783617146755,0.32953991136039046,-0.22059874316719047,0.3021738827228546,-0.24424715340137482,0.30218034982681274,-0.24423283338546753,-0.2868753671646118,-0.11369702965021133
1773916746.513431,0.30964501232307207,-0.25756796492493345,0.3296121328498644,-0.2205304536552724,0.3021738827228546,-0.24424715340137482,0.302178293466568,-0.24423803389072418,-0.28687894344329834,-0.11370577663183212
1773916746.7144759,0.3102748871944271,-0.25878951206606804,0.3296121859667998,-0.2205304070350818,0.3021738827228546,-0.24424715340137482,0.30217063426971436,-0.24423964321613312,-0.28687524795532227,-0.11371909826993942
1773916746.9188485,0.3110199242124037,-0.25993946322999506,0.3296826260506964,-0.22046326201080255,0.3021738827228546,-0.24424715340137482,0.30218207836151123,-0.2442326545715332,-0.28687506914138794,-0.11369723081588745
1773916747.115684,0.3116718646012389,-0.2610045210068644,0.3297327202332324,-0.2204167698783549,0.3021738827228546,-0.24424715340137482,0.3021813631057739,-0.24424561858177185,-0.28687235713005066,-0.11370453983545303
1773916747.3187637,0.312254657082607,-0.2619934983965426,0.3297666827532174,-0.2203854306482016,0.3021738827228546,-0.24424715340137482,0.3021901547908783,-0.24423928558826447,-0.28688082098960876,-0.11370357871055603
1773916747.5161817,0.31289860588181473,-0.26293880635436573,0.32983753520750186,-0.22031671302648045,0.3021738827228546,-0.24424715340137482,0.302186518907547,-0.24422520399093628,-0.28691184520721436,-0.11336676776409149
1773916747.7180052,0.3134128424330513,-0.26379463113348667,0.3298715518460464,-0.22028506603768244,0.3021738827228546,-0.24424715340137482,0.302194744348526,-0.24422778189182281,-0.28691452741622925,-0.11337955296039581
1773916747.9183254,0.31397550979649363,-0.26461568070828395,0.3299345460449451,-0.2202239680584296,0.3021738827228546,-0.24424715340137482,0.3021632134914398,-0.2442234456539154,-0.2869431674480438,-0.11337898671627045
1773916748.1241817,0.31451928838088833,-0.2653814962264077,0.33000288069840716,-0.22015724110313423,0.3021738827228546,-0.24424715340137482,0.3021605908870697,-0.24424685537815094,-0.2868853807449341,-0.11370846629142761
1773916748.3191917,0.31483309582136587,-0.2660486069298682,0.32998832348771107,-0.22017013575361363,0.3021738827228546,-0.24424715340137482,0.30216270685195923,-0.24425317347049713,-0.2869197428226471,-0.11339809000492096
