ts,leg_x,leg_y,db_x,db_y,odom_x,odom_y,gt_x,gt_y,gt_obs_x,gt_obs_y
1773915473.1035097,0.05871567783476407,-0.5582816076674609,0.08771575966139766,-0.6024955268742554,0.05939157066697435,-0.5559491280519866,0.07371682673692703,-0.5571469664573669,0.0,0.0
1773915473.3036928,0.058113392544437106,-0.560439093411153,0.08775472355758956,-0.6025623756078481,0.05938884165305391,-0.5559490293598046,0.07370935380458832,-0.5571496486663818,0.0,0.0
1773915473.5010743,0.05756555359891622,-0.5623629628507909,0.08777905924845208,-0.6026215285451567,0.05937604675912535,-0.5559485659282619,0.07372713088989258,-0.5571374297142029,0.0,0.0
1773915473.7028265,0.057472242721556405,-0.5651866580240872,0.0884878725663352,-0.6035515472121026,0.059389440735708364,-0.5559490506795175,0.0737103670835495,-0.5571354031562805,0.0,0.0
1773915473.9022756,0.05700276273815023,-0.5667106199888294,0.08848913993383314,-0.6035609330481672,0.05938466792095777,-0.5559488767775517,0.07371728122234344,-0.5571432709693909,0.0,0.0
1773915474.1034694,0.05658842330081981,-0.5680348411072379,0.08846958223917124,-0.6035293403274142,0.05938467742236699,-0.5559488771221637,0.07371648401021957,-0.5571446418762207,0.0,0.0
1773915474.3034556,0.05653764756095567,-0.5705306441035215,0.08922073435418393,-0.604447662334586,0.05936974222236347,-0.5559483372782791,0.0737219750881195,-0.5571280717849731,0.0,0.0
1773915474.507626,0.0562023454593852,-0.5715469956325477,0.08918791180706537,-0.6043500649370598,0.05939790681296434,-0.5559493584238796,0.07371948659420013,-0.5571345686912537,0.0,0.0
1773915474.7042892,0.056186478551561704,-0.5736130812595862,0.08980303782976583,-0.6051235739733465,0.0593979068237457,-0.5559493584242704,0.07371246814727783,-0.5571348071098328,0.0,0.0
1773915474.9051468,0.05584430443301792,-0.574422837804901,0.08970992879299276,-0.604994107284272,0.0593851756773321,-0.5559488977225553,0.07371427118778229,-0.5571340322494507,0.0,0.0
1773915475.1093822,0.05554236144535952,-0.5751287831486599,0.08961917211027072,-0.6048418853700798,0.05938803954466036,-0.5559490013397752,0.07371673732995987,-0.5571410059928894,0.0,0.0
1773915475.3101301,0.05554750897192933,-0.5769692744370198,0.09022283817458954,-0.6055779461886412,0.05938009922785649,-0.555948712981885,0.07371288537979126,-0.557120680809021,0.0,0.0
1773915475.5138,0.055565399479042245,-0.5787139932922979,0.09081326563595664,-0.6062809029392721,0.05938010968882752,-0.5559487133617673,0.07370279729366302,-0.5571240186691284,0.0,0.0
1773915475.7116022,0.05528733379855546,-0.5792596768538865,0.09071759707808667,-0.6061310863069755,0.05938010968882752,-0.5559487133617673,0.07371687889099121,-0.5571335554122925,0.0,0.0
1773915475.9118543,0.05530829319529632,-0.5803768142604797,0.09099091925629593,-0.6065273579690167,0.05938010968882752,-0.5559487133617673,0.07372467964887619,-0.5571262836456299,0.0,0.0
1773915476.1117442,0.05537860621308524,-0.5828370728387564,0.09086054107766314,-0.6063191048659334,0.05938010968882752,-0.5559487133617673,0.07372046262025833,-0.5571259260177612,0.0,0.0
1773915476.3121367,0.05511912089846398,-0.5832296121945312,0.09080242057484998,-0.6062154679198539,0.0593901480156832,-0.5559490762850001,0.07370226830244064,-0.55713951587677,0.0,0.0
1773915476.512686,0.05515596346889676,-0.584573859639105,0.09133827919476474,-0.6068478463763027,0.05939016027896434,-0.5559490767281894,0.07370629906654358,-0.5571409463882446,0.0,0.0
1773915476.713255,0.05519935666868117,-0.58579340166096,0.0918114669788971,-0.6074263176360385,0.05939016027896435,-0.5559490767281894,0.07370302826166153,-0.5571469664573669,0.0,0.0
1773915476.9118993,0.05493970738133093,-0.5859896786855817,0.09167835687512846,-0.6072399474769621,0.059377620777145146,-0.5559486221971768,0.07369504868984222,-0.5571454167366028,0.0,0.0
1773915477.1176167,0.055006193710421154,-0.587112493431787,0.09214270645931545,-0.6077809529020716,0.059399323437756175,-0.555949408531269,0.07369935512542725,-0.5571494102478027,0.0,0.0
1773915477.3129988,0.05503320795728355,-0.5882326665063701,0.09258335908401451,-0.608320194075867,0.059384174661834016,-0.5559488604294933,0.07369400560855865,-0.5571448802947998,0.0,0.0
1773915477.5135052,0.05507394650139739,-0.5889343102097098,0.09281699755087239,-0.6086283768561764,0.0593958108676745,-0.5559492816835533,0.07370801270008087,-0.5571441054344177,0.0,0.0
1773915477.7136462,0.05483988408541265,-0.5889929394731162,0.09266524207911428,-0.6083987874702472,0.05939446074711639,-0.5559492319737092,0.07370772957801819,-0.5571418404579163,0.0,0.0
1773915477.914904,0.054846532726104145,-0.589641682072704,0.09284274050247013,-0.6086956345149133,0.05935797715577575,-0.5559479127355262,0.0736936405301094,-0.5571258068084717,0.0,0.0
1773915478.115684,0.0546245223463971,-0.589635787275857,0.09267855757676745,-0.6084424659284174,0.05935810317502208,-0.5559479187198871,0.07369627803564072,-0.5571210384368896,0.0,0.0
1773915478.3168905,0.05470964563365336,-0.5905601741595233,0.09309526341791112,-0.6089124204747789,0.0593875313640991,-0.5559489820143626,0.0737120732665062,-0.5571351051330566,0.0,0.0
1773915478.5163188,0.05449583908608698,-0.5905350490541152,0.09293381976247253,-0.6086662669096901,0.05938753136410407,-0.5559489820143627,0.07371238619089127,-0.5571394562721252,0.0,0.0
1773915478.7170718,0.05426548205916472,-0.5904414664928422,0.09272650838177628,-0.6083803676304237,0.05936306228661222,-0.5559480968984298,0.07371704280376434,-0.5571377873420715,0.0,0.0
1773915478.919,0.05435256533603809,-0.591244973198439,0.09308124672686915,-0.6088081332453477,0.0593765918184464,-0.5559485859931367,0.07371241599321365,-0.5571466088294983,0.0,0.0
1773915479.1177204,0.054425427692566926,-0.5919567238195093,0.0933765567816457,-0.6091878012341121,0.05937659182316563,-0.5559485859933073,0.07370682805776596,-0.5571525692939758,0.0,0.0
1773915479.3197482,0.05422925580722173,-0.5918158691933284,0.09318639295820769,-0.6088930539023496,0.05937659182316563,-0.5559485859933073,0.07371588051319122,-0.5571390986442566,0.0,0.0
1773915479.5206823,0.05402175130749773,-0.5916509193860957,0.09297230985326049,-0.6085896127335058,0.0593557998094985,-0.5559478342883453,0.07372239977121353,-0.5571508407592773,0.0,0.0
1773915479.7210562,0.054114056846461915,-0.5924219195544757,0.09333363336069966,-0.6090135684041227,0.05937156091629325,-0.5559484033271238,0.07371626794338226,-0.5571451187133789,0.0,0.0
1773915479.9231396,0.053929882748849585,-0.5922686762216269,0.09315077703436386,-0.6087318243940885,0.05937156091629717,-0.5559484033271238,0.07369385659694672,-0.5571539998054504,0.0,0.0
1773915480.1226447,0.053755761046318365,-0.592130176999253,0.09298011038213232,-0.6084693699781824,0.05937156091629717,-0.5559484033271238,0.07369441539049149,-0.55715012550354,0.0,0.0
1773915480.321784,0.05384401748155343,-0.5928291081493704,0.09330017163307272,-0.6088692198048488,0.05937156091629717,-0.5559484033271238,0.07372518628835678,-0.5571550130844116,0.0,0.0
1773915480.5240197,0.05367908550692379,-0.5926662900770696,0.09312595724916042,-0.6086029584174208,0.05937020454688642,-0.5559483539033719,0.07370419055223465,-0.557141900062561,0.0,0.0
1773915480.7235484,0.0537764105002216,-0.5933833494665619,0.09346726986001158,-0.6090210028575096,0.05937020455088897,-0.5559483539035166,0.07370634377002716,-0.5571426153182983,0.0,0.0
1773915480.9245458,0.05359054051793598,-0.5931733433077544,0.09325566262958117,-0.6087299017105945,0.0593460567543714,-0.5559474817038192,0.07370685040950775,-0.5571524500846863,0.0,0.0
1773915481.1261983,0.053445670570178294,-0.5929741131446264,0.0930872612880697,-0.608452706658696,0.059357092324876994,-0.5559478799180376,0.07371430844068527,-0.5571634769439697,0.0,0.0
1773915481.3251069,0.05328919220793275,-0.5928795199217163,0.09295386198750012,-0.6082540027412215,0.059357092324877,-0.5559478799180376,0.07369444519281387,-0.5571473240852356,0.0,0.0
1773915481.5264087,0.05339242616224104,-0.5935446614873141,0.09326841454521526,-0.6086640555067993,0.059342454830968894,-0.5559473516462928,0.07370340079069138,-0.5571489334106445,0.0,0.0
