timestamp,kf_x,kf_y,ekf_raw_x,ekf_raw_y,gt_x,gt_y
1773335028.449075,-0.09605923722464821,-0.40128935718718123,-0.11844448610765435,-0.3782166083441112,-0.09289294481277466,-0.43133875727653503
1773335028.6996021,-0.08591862676764146,-0.4117443693878891,-0.11844448610765435,-0.3782166083441112,-0.09287772327661514,-0.4313395321369171
1773335028.8462594,-0.08017915984472088,-0.4177059898230155,-0.11844448610765435,-0.3782166083441112,-0.09288723766803741,-0.431336373090744
1773335029.1495125,-0.07535549024205138,-0.4218420727187637,-0.11844448610765435,-0.3782166083441112,-0.09288301318883896,-0.4313443601131439
1773335029.454576,-0.0722779755417267,-0.42477412512607604,-0.11844448610765435,-0.3782166083441112,-0.09289148449897766,-0.43133407831192017
1773335029.6491284,-0.07046657684438223,-0.4268427418111928,-0.11844448610765435,-0.3782166083441112,-0.09289716929197311,-0.4313325583934784
1773335029.8569667,-0.06912326612527692,-0.4283567049315283,-0.11844448610765435,-0.3782166083441112,-0.09289577603340149,-0.4313335120677948
1773335030.2022183,-0.0679730693761432,-0.42964050369867457,-0.11844448610765435,-0.3782166083441112,-0.09287489205598831,-0.43134546279907227
1773335030.3973122,-0.06706353681112973,-0.4306558684459454,-0.11844448610765435,-0.3782166083441112,-0.0928753986954689,-0.4313412308692932
1773335030.5292222,-0.06630773077043357,-0.4315047507970697,-0.11844448610765435,-0.3782166083441112,-0.09288068860769272,-0.4313381314277649
1773335030.6653936,-0.06567508689997524,-0.43221939816352656,-0.11844448610765435,-0.3782166083441112,-0.09289700537919998,-0.4313344359397888
1773335030.853194,-0.06485855522809217,-0.432844599730107,-0.11844448610765435,-0.3782166083441112,-0.09289106726646423,-0.43134140968322754
1773335031.0516524,-0.06442235487802114,-0.43335722634529983,-0.11844448610765435,-0.3782166083441112,-0.09288841485977173,-0.43134063482284546
1773335031.25828,-0.06377024859318778,-0.4338356139766156,-0.11844448610765435,-0.3782166083441112,-0.09288995712995529,-0.431339293718338
1773335031.4599223,-0.0634576169780958,-0.43422614225667266,-0.11844448610765435,-0.3782166083441112,-0.09289334714412689,-0.4313417077064514
1773335031.6585913,-0.06295905744535,-0.4345432632992473,-0.11844448610765435,-0.3782166083441112,-0.09289699792861938,-0.4313371479511261
1773335031.8545651,-0.06275588656272811,-0.4348096841785355,-0.11844448610765435,-0.3782166083441112,-0.0928889662027359,-0.4313425123691559
1773335032.0557733,-0.06232704149554944,-0.43507790372709104,-0.11844448610765435,-0.3782166083441112,-0.09289387613534927,-0.43133342266082764
1773335032.2548115,-0.062170230486295976,-0.4353087005574115,-0.11844448610765435,-0.3782166083441112,-0.09289359301328659,-0.43133556842803955
1773335032.4603367,-0.062002821373451616,-0.4355632861524532,-0.11844448610765435,-0.3782166083441112,-0.09289395064115524,-0.4313334822654724
1773335032.6557763,-0.0619021186586301,-0.435692464878152,-0.11844448610765435,-0.3782166083441112,-0.09289322793483734,-0.43134191632270813
1773335032.8633106,-0.06178398041198446,-0.43586043144387365,-0.11844448610765435,-0.3782166083441112,-0.09289129078388214,-0.43133893609046936
1773335033.0620387,-0.06166720604783473,-0.4360253730933638,-0.11844448610765435,-0.3782166083441112,-0.09289588034152985,-0.43133774399757385
1773335033.2603748,-0.06156040762617034,-0.436176711451854,-0.11844448610765435,-0.3782166083441112,-0.09289034456014633,-0.43134114146232605
1773335033.4648147,-0.06141916491586996,-0.43640632689912906,-0.11844448610765435,-0.3782166083441112,-0.09289027005434036,-0.4313403367996216
1773335033.6595385,-0.06132538272755813,-0.43655825045961455,-0.11844448610765435,-0.3782166083441112,-0.09289469569921494,-0.43133842945098877
1773335033.859568,-0.061219480773083076,-0.43673976475128545,-0.11844448610765435,-0.3782166083441112,-0.09289566427469254,-0.43134042620658875
1773335034.0655565,-0.06113755827223601,-0.43687421047139263,-0.11844448610765435,-0.3782166083441112,-0.09289058297872543,-0.4313362240791321
1773335034.263804,-0.06057213903034087,-0.43714758775394613,-0.11844448610765435,-0.3782166083441112,-0.09288603812456131,-0.43134328722953796
1773335034.6637325,-0.06055943555316598,-0.4372047837249496,-0.11844448610765435,-0.3782166083441112,-0.09288670867681503,-0.4313461482524872
1773335034.864992,-0.06055708260542399,-0.4372457745848351,-0.11844448610765435,-0.3782166083441112,-0.09289135783910751,-0.43132710456848145
1773335035.1588569,-0.06056840331120721,-0.4372561309423806,-0.11844448610765435,-0.3782166083441112,-0.09287760406732559,-0.43133893609046936
1773335035.3231652,-0.06055104260969252,-0.43731720762028553,-0.11844448610765435,-0.3782166083441112,-0.09287063032388687,-0.43134069442749023
1773335035.4786215,-0.060509093356877,-0.43742804419464154,-0.11844448610765435,-0.3782166083441112,-0.09288686513900757,-0.4313372075557709
1773335035.670653,-0.06051829908709715,-0.4374271581177705,-0.11847462856999669,-0.3781591763810106,-0.09352951496839523,-0.4308399558067322
1773335035.8769207,-0.06098734918089423,-0.43694832854203003,-0.1187599567523252,-0.3775989328152078,-0.0945911556482315,-0.4307703971862793
1773335036.0661829,-0.06117455032387126,-0.43699257533091457,-0.11880660018142941,-0.377497973376633,-0.09532004594802856,-0.4307243824005127
