timestamp,tb7_gt_x,tb7_gt_y,tb1_kf_x,tb1_kf_y,tb1_gt_x,tb1_gt_y,tb2_kf_x,tb2_kf_y,tb2_gt_x,tb2_gt_y,tb3_kf_x,tb3_kf_y,tb3_gt_x,tb3_gt_y
1777391710.4939094,0.2775326669216156,1.5627988576889038,-0.26611483097076416,-1.419478178024292,-0.26613879203796387,-1.4194848537445068,1.4155747892421375,-0.2723515326289848,1.4155707359313965,-0.2723568379878998,-1.1372679472164804,0.2493664931745286,-1.1373220682144165,0.24934974312782288
1777391710.6954775,0.2775442600250244,1.5628000497817993,-0.26611483097076416,-1.419478178024292,-0.2661273181438446,-1.419481635093689,1.4155747892421375,-0.2723515326289848,1.41556978225708,-0.2723545432090759,-1.1372679472164804,0.2493664931745286,-1.1373224258422852,0.2493504136800766
1777391710.8960993,0.2775472402572632,1.562796711921692,-0.26611483097076416,-1.419478178024292,-0.2661373019218445,-1.4194787740707397,1.4155747892421375,-0.2723515326289848,1.4155739545822144,-0.27233150601387024,-1.1372426468990393,0.2493669339382249,-1.1373286247253418,0.24934782087802887
1777391711.097831,0.2775421440601349,1.562800645828247,-0.26611483097076416,-1.419478178024292,-0.26613128185272217,-1.4194754362106323,1.4155747892421375,-0.2723515326289848,1.41556978225708,-0.2723459303379059,-1.1372679472183318,0.24936649328227986,-1.137325406074524,0.24935215711593628
1777391711.2961,0.27754080295562744,1.5627995729446411,-0.26611483097076416,-1.419478178024292,-0.2661329507827759,-1.419482707977295,1.4155747892421375,-0.2723515326289848,1.4155726432800293,-0.2723314166069031,-1.137242646898374,0.2493669338994797,-1.1373238563537598,0.24936164915561676
1777391711.5004313,0.27753791213035583,1.5628076791763306,-0.26611483097076416,-1.419478178024292,-0.26612794399261475,-1.4194812774658203,1.4155747892421375,-0.2723515326289848,1.4155737161636353,-0.27234506607055664,-1.1372679472203817,0.24936649340162642,-1.1373212337493896,0.24934709072113037
1777391711.6980813,0.27755793929100037,1.5627983808517456,-0.26611483097076416,-1.419478178024292,-0.26613566279411316,-1.4194769859313965,1.4155747892421375,-0.2723515326289848,1.4155762195587158,-0.2723475396633148,-1.1372426468952388,0.24936693371687757,-1.1373162269592285,0.24935710430145264
1777391711.9053998,0.27755916118621826,1.5628074407577515,-0.26611483097076416,-1.419478178024292,-0.26613205671310425,-1.4194761514663696,1.4155747892421375,-0.2723515326289848,1.4155700206756592,-0.27234598994255066,-1.13726794722243,0.24936649352097298,-1.1373162269592285,0.24934522807598114
1777391712.1011953,0.27754831314086914,1.5628104209899902,-0.26611483097076416,-1.419478178024292,-0.26613426208496094,-1.4194782972335815,1.4155747892421375,-0.2723515326289848,1.415565013885498,-0.2723369896411896,-1.1372679472209584,0.24936649343518671,-1.1373299360275269,0.24935521185398102
1777391712.2998493,0.2775443196296692,1.5628095865249634,-0.26611483097076416,-1.419478178024292,-0.26613324880599976,-1.4194751977920532,1.4155747892421375,-0.2723515326289848,1.415571928024292,-0.2723390758037567,-1.1372679472178144,0.24936649325201898,-1.1373317241668701,0.2493526190519333
