timestamp,kf_x,kf_y,ekf_raw_x,ekf_raw_y,gt_x,gt_y,gt_obs_x,gt_obs_y
1774354620.7516253,0.3922217465144355,-1.017291694196067,0.38789793848991394,-1.0227527618408203,0.38791796565055847,-1.0227572917938232,-0.10773593187332153,-1.011548638343811
1774354621.0080156,0.3922363798069173,-1.0172726346074334,0.38789793848991394,-1.0227527618408203,0.38792985677719116,-1.02274751663208,-0.1077595129609108,-1.0115501880645752
1774354621.2307854,0.39224253932065256,-1.017264846741009,0.38789793848991394,-1.0227527618408203,0.3878902792930603,-1.022743582725525,-0.107772096991539,-1.0115447044372559
1774354621.3520348,0.3922520535664461,-1.0172526319690225,0.38789793848991394,-1.0227527618408203,0.38789644837379456,-1.0227506160736084,-0.1077670305967331,-1.0115430355072021
1774354621.5493288,0.39223848701037883,-1.017268876236153,0.38789793848991394,-1.0227527618408203,0.38794800639152527,-1.022736668586731,-0.10776146501302719,-1.0115386247634888
1774354621.752338,0.39233285671068274,-1.0168286278082486,0.38789793848991394,-1.0227527618408203,0.38793233036994934,-1.0227315425872803,-0.1077563464641571,-1.0115246772766113
1774354621.9543173,0.392335208683293,-1.0168255557472352,0.38789793848991394,-1.0227527618408203,0.38791704177856445,-1.022739291191101,-0.1077486053109169,-1.0115339756011963
1774354622.1517737,0.3923306138273651,-1.016831434843708,0.38789793848991394,-1.0227527618408203,0.3879030644893646,-1.0227530002593994,-0.10776212811470032,-1.011535882949829
1774354622.3526125,0.3923030861388046,-1.0168639965013075,0.38789793848991394,-1.0227527618408203,0.38788723945617676,-1.0227558612823486,-0.10777325928211212,-1.0115323066711426
1774354622.5507011,0.3924241495287502,-1.0164924050424933,0.38789793848991394,-1.0227527618408203,0.3879150152206421,-1.0227476358413696,-0.1077423170208931,-1.0115357637405396
1774354622.7526078,0.39242173645685313,-1.0164955994502352,0.38789793848991394,-1.0227527618408203,0.38788875937461853,-1.0227625370025635,-0.10776035487651825,-1.0115317106246948
1774354622.9514368,0.39230982455976793,-1.0166067598901742,0.38789793848991394,-1.0227527618408203,0.38790586590766907,-1.0227351188659668,-0.10774610191583633,-1.0115253925323486
1774354623.1512947,0.392449127210053,-1.0162519886718193,0.38789793848991394,-1.0227527618408203,0.38791966438293457,-1.0227458477020264,-0.1077565923333168,-1.0115323066711426
1774354623.350619,0.3924073930740643,-1.0163017670805614,0.38789793848991394,-1.0227527618408203,0.3879333436489105,-1.022729516029358,-0.10774973034858704,-1.011400580406189
1774354623.5534437,0.39243360648158676,-1.01626814015161,0.38789793848991394,-1.0227527618408203,0.38792166113853455,-1.0227419137954712,-0.10792247951030731,-1.0073411464691162
1774354623.7536187,0.39257090274326994,-1.0159774998824107,0.38789947757967397,-1.0227269376944828,0.387786865234375,-1.0209897756576538,-0.10769477486610413,-1.0018136501312256
1774354623.9521668,0.39291054220739224,-1.0129867911842054,0.3880668765027692,-1.0199275984018585,0.38760170340538025,-1.015533208847046,-0.10770058631896973,-0.9956106543540955
1774354624.1506433,0.39326544654640455,-1.0069827221401735,0.38842202977604245,-1.01392328222518,0.38807669281959534,-1.0089856386184692,-0.10787694156169891,-0.9893298745155334
1774354624.3514686,0.3938430544268275,-1.0006124414979338,0.3887729034260151,-1.0079914568956028,0.3880845308303833,-1.0031298398971558,-0.10795604437589645,-0.9842273592948914
1774354624.5509396,0.3942004545057227,-0.9945625723410004,0.3891324365902537,-1.0019396729542567,0.3885742425918579,-0.9977080225944519,-0.107926145195961,-0.978587806224823
1774354624.7521048,0.3945997325772029,-0.9886486950728557,0.3894828875554029,-0.9960793484428533,0.38808390498161316,-0.9923967123031616,-0.1079963967204094,-0.9732201099395752
1774354624.9511833,0.3949567027959012,-0.9828858052564047,0.38982379584010945,-0.9903312818130915,0.38859763741493225,-0.9862834215164185,-0.10798284411430359,-0.9667484164237976
1774354625.3526714,0.39568791858908053,-0.9705662633164855,0.3905148505754147,-0.9780507079148595,0.38858988881111145,-0.9742884039878845,-0.10779967904090881,-0.9550512433052063
1774354625.550972,0.39600928784542805,-0.9646498707769082,0.39084009120581537,-0.9721309069397996,0.3887869715690613,-0.9677616357803345,-0.107760950922966,-0.9500725865364075
1774354625.7515628,0.39629861156835583,-0.959084097084804,0.39114211890636014,-0.9665533260779362,0.3893418312072754,-0.9627333283424377,-0.1078108698129654,-0.9444601535797119
1774354625.9514706,0.3965244953228427,-0.9527709324110261,0.39147395747872604,-0.9601569756022379,0.38933277130126953,-0.9576139450073242,-0.1078997328877449,-0.9395456910133362
1774354626.1509984,0.3967973834794684,-0.9470310001282923,0.39176692684681946,-0.9543995854548727,0.38915783166885376,-0.9514591097831726,-0.10789000988006592,-0.9339802861213684
1774354626.3506563,0.3970911230718879,-0.9408350138000964,0.3920778138728768,-0.9481900482226251,0.3896749019622803,-0.9453825354576111,-0.10764017701148987,-0.9272918701171875
1774354626.5513284,0.3973867108174109,-0.9347185040555325,0.39238609440315364,-0.9420597062789723,0.3891642987728119,-0.9394148588180542,-0.10753311216831207,-0.9218209981918335
1774354626.7525363,0.39769177577592235,-0.9286363425996298,0.3927017979137015,-0.9359694414358976,0.38969719409942627,-0.933405876159668,-0.10761475563049316,-0.9156226515769958
1774354626.9517312,0.3979940388240163,-0.9226910176954158,0.3930067132804714,-0.9300219160178633,0.3897438645362854,-0.9280979633331299,-0.10761649906635284,-0.9107859134674072
1774354627.1509788,0.3982875958873887,-0.916774877177219,0.39331549848987896,-0.9240923645814535,0.390243262052536,-0.9235132336616516,-0.10821865499019623,-0.9075074791908264
1774354627.552666,0.39888093347066556,-0.9050651793313391,0.39393661415348835,-0.9123614855864568,0.3902282118797302,-0.9118248224258423,-0.10821865499019623,-0.9075074791908264
1774354627.7519498,0.39925557940011486,-0.8989070701698816,0.3942526286484397,-0.9062574781353883,0.3905942440032959,-0.9055467247962952,-0.10821865499019623,-0.9075074791908264
