timestamp,odom_x,odom_y,lidar_x,lidar_y,kf_x,kf_y,opti_x,opti_y
1772109883,0.39,0.0085,0.35983992765354356,-0.03416670201930389,0.3824599819133859,-0.0021666755048259725,0.35511282086372375,0.00479171983897686
1772109884,0.39,0.0085,0.3583358572726942,-0.03415774720415332,0.3776351569852476,-0.008564889844691443,0.355129212141037,0.00473787309601903
1772109886,0.39,0.0085,0.36195377288718394,-0.034334160594887524,0.37502159296890364,-0.012859768303057458,0.35515108704566956,0.004770765081048012
1772109886,0.39,0.0085,0.36992345928216974,-0.03493945082241057,0.3742932881565131,-0.016014008662965044,0.35516929626464844,0.004764590412378311
1772109887,0.39,0.0085,0.3638322732084889,-0.034397788511286886,0.37298566128801003,-0.018311981144005274,0.3551800847053528,0.0047819958999753
1772109888,0.39,0.0085,0.3697881834102735,-0.03505456587478187,0.37263038596826153,-0.020172268336313786,0.35514727234840393,0.004742275457829237
1772109889,0.39,0.0085,0.36839406734517777,-0.03188006360276671,0.37220675410595316,-0.02134304786295908,0.35516515374183655,0.004770907573401928
1772109889,0.39,0.0085,0.3733830867715887,-0.028064800117120956,0.37231369343919274,-0.021954116249701068,0.35910534858703613,0.010063504800200462
1772109890,0.39,0.0085,0.3626998795393598,-0.03142188438206454,0.3715125422808733,-0.022743096927398024,0.35968878865242004,0.008900793269276619
1772109890,0.39,0.0085,0.3670945609138343,-0.03201655965425406,0.3711726975603319,-0.023456440214079256,0.35973095893859863,0.008796595968306065
1772109891,0.39,0.0085,0.3689491425715854,-0.032106270260855295,0.37101387220399284,-0.024074285217420402,0.3597271144390106,0.008777330629527569
1772109891,0.39,0.0085,0.37079712696927547,-0.0322829714974266,0.37099942252167833,-0.024621530969420814,0.3597293496131897,0.008787166327238083
1772109892,0.39,0.0085,0.3630204585616493,-0.031129708417851287,0.37050073727417654,-0.025028292059947718,0.35972514748573303,0.008788157254457474
1772109892,0.39,0.0085,0.3562062425570767,-0.030340851636647646,0.36965988464375893,-0.02534079556445948,0.3597415089607239,0.008780909702181816
1772109893,0.39,0.0085,0.3535735980048646,-0.028977634206771612,0.36876620205270927,-0.02554284215569904,0.35977301001548767,0.00875026360154152
1772109893,0.39,0.0085,0.36665091511758174,-0.035084297360795116,0.3686548711613868,-0.026045024008598833,0.35975345969200134,0.008779626339673996
1772109894,0.39,0.0085,0.3602994908757637,-0.03465134274907865,0.36823710214710564,-0.026475339945622824,0.3597344756126404,0.00880280788987875
1772109894,0.39,0.0085,0.36153810524080066,-0.034805685677479055,0.36791810229442445,-0.026872023075711217,0.3597192168235779,0.008811546489596367
1772109895,0.39,0.0085,0.3634096614272348,-0.0349212564393049,0.36771317316409763,-0.02723789731951093,0.35973885655403137,0.008793899789452553
1772109899,0.39,0.0085,0.3708919657871305,-0.0352824071699979,0.3678513815390121,-0.02758765861735819,0.3633778393268585,-0.0010911095887422562
1772109900,0.39,0.0085,0.3659050959965359,-0.03495990505528307,0.36777028630807557,-0.027894835552271728,0.365670382976532,-0.0002643316984176636
1772109901,0.39,0.0085,0.3638730330170032,-0.03786069522090044,0.36761439617643266,-0.028293469939016876,0.3656589388847351,-0.002300938591361046
1772109901,0.39,0.0085,0.3634359778174477,-0.03775825230232955,0.3674536877780102,-0.02865750002991352,0.3658071756362915,-0.0023430809378623962
1772109901,0.39,0.0085,0.3623210290606305,-0.037759947871863944,0.3672635893069961,-0.028994627727763535,0.36583802103996277,-0.002310117706656456
1772109901,0.39,0.0085,0.36409483275129834,-0.03787426111347983,0.36715041943000687,-0.029311757491539116,0.36582350730895996,-0.002303631976246834
1772109902,0.39,0.0085,0.3616705390862262,-0.03757464806997427,0.366961458038842,-0.029596684752864467,0.3656475841999054,-0.0022901464253664017
1772109902,0.39,0.0085,0.3574310969410969,-0.039838805976747174,0.36664377933558384,-0.029938088793660556,0.3656623959541321,-0.002299102023243904
1772109903,0.39,0.0085,0.3491812133668597,-0.042460111830947375,0.3660804707559476,-0.030342025020669808,0.3629896938800812,-0.00728265568614006
1772109904,0.39,0.0085,0.3529181475247861,-0.04297359975306343,0.36566914815497376,-0.03073676173105711,0.362671822309494,-0.007609868422150612
1772109904,0.39,0.0085,0.3543429785497694,-0.043201261151580655,0.36532593089421,-0.031114473834709337,0.3626151978969574,-0.00750584714114666
1772109905,0.39,0.0085,0.35225420406471064,-0.04290574958203489,0.3649414683404012,-0.031461276062571854,0.36212921142578125,-0.006280895322561264
1772109906,0.39,0.0085,0.34955832022708866,-0.03404638322236794,0.364501949822878,-0.031535136267137456,0.3585751950740814,0.0075101787224411964
1772109907,0.39,0.0085,0.34083774886745977,0.0029209730582977875,0.3638446109074497,-0.0305780221192087,0.35789409279823303,0.009071379899978638
1772109907,0.39,0.0085,0.3366025823887319,0.006239724368030597,0.3631083398664033,-0.029582947889823852,0.3491255044937134,0.04786534234881401
1772109908,0.39,0.0085,0.32878316174039135,0.011977761343568614,0.36220504570519246,-0.028489245015260893,0.3482460379600525,0.05475330352783203
1772109908,0.39,0.0085,0.3435225734855518,0.017568532184059293,0.36172600795597093,-0.027308276369124477,0.3465368151664734,0.06008308380842209
1772109908,0.39,0.0085,0.3367295170037089,0.02090613002572813,0.36110109568216436,-0.02610291620925316,0.345927894115448,0.06516102701425552
1772109909,0.39,0.0085,0.33073270904107166,0.05547719854207277,0.3603604033250645,-0.024113157312879357,0.3377833068370819,0.09903392195701599
1772109910,0.39,0.0085,0.32934760836225824,0.06116069270185179,0.35962200344499773,-0.022082827550623855,0.33616721630096436,0.10520624369382858
1772109911,0.39,0.0085,0.334824049207791,0.12889001762837146,0.35904530683483016,-0.018571831151112335,0.3207012116909027,0.1707473248243332
1772109911,0.39,0.0085,0.3248004220853037,0.12463807578423383,0.35826701399961364,-0.015317060538945377,0.3192683756351471,0.17701026797294617
1772109912,0.39,0.0085,0.3258584135211797,0.14335898060601945,0.35754682287787065,-0.01179092629127949,0.3180016279220581,0.1849631667137146
1772109912,0.39,0.0085,0.31484713551646326,0.14445746167176335,0.3566185688047966,-0.008394222205126384,0.3163456618785858,0.191548153758049
