timestamp,kf_x,kf_y,ekf_raw_x,ekf_raw_y,gt_x,gt_y
1773401539.9340389,-0.20251809402753193,-0.9721759957556902,-0.21680944261039398,-1.0213396916065678,-0.18093134462833405,-0.959971010684967
1773401540.127864,-0.198162914033497,-0.9569694792029234,-0.21680944261039398,-1.0213396916065678,-0.18091505765914917,-0.9599586725234985
1773401540.3280535,-0.19570827831900298,-0.9494114758185296,-0.21680944261039398,-1.0213396916065678,-0.18091151118278503,-0.9599703550338745
1773401540.540219,-0.19427231172255127,-0.9449010343644553,-0.21680944261039398,-1.0213396916065678,-0.18091091513633728,-0.9599642753601074
1773401540.7425632,-0.19344717999301297,-0.9419195557881349,-0.21680944261039398,-1.0213396916065678,-0.180924654006958,-0.9599412679672241
1773401540.9306166,-0.19286084554661334,-0.9397871829949247,-0.21680944261039398,-1.0213396916065678,-0.1809222549200058,-0.9599747061729431
1773401541.134339,-0.1923570439839396,-0.9381548794793396,-0.21680944261039398,-1.0213396916065678,-0.1809215098619461,-0.9599659442901611
1773401541.375671,-0.19202916882207874,-0.9368788544090393,-0.21680944261039398,-1.0213396916065678,-0.181095153093338,-0.9599249958992004
1773401541.536595,-0.19169351991695363,-0.9358437424639511,-0.21680944261039398,-1.0213396916065678,-0.18091721832752228,-0.9599654674530029
1773401541.7375014,-0.19142939817182705,-0.9349942361709471,-0.21680944261039398,-1.0213396916065678,-0.18093065917491913,-0.9599727988243103
1773401541.9435205,-0.1912297401311992,-0.9342885854692562,-0.21680944261039398,-1.0213396916065678,-0.18091632425785065,-0.9599778056144714
1773401542.1507912,-0.19107983006911322,-0.9336862805537063,-0.21680944261039398,-1.0213396916065678,-0.1810780018568039,-0.9599348306655884
1773401542.3410602,-0.19094590003878364,-0.9331572575486989,-0.21680944261039398,-1.0213396916065678,-0.18091244995594025,-0.9599770307540894
1773401542.5395977,-0.19081945849698007,-0.9326977561541275,-0.21680944261039398,-1.0213396916065678,-0.18091411888599396,-0.9599694609642029
1773401542.744412,-0.1907211344604379,-0.9322912937260972,-0.21680944261039398,-1.0213396916065678,-0.18092454969882965,-0.9599789977073669
1773401542.9760792,-0.19069315094773479,-0.9319468366692678,-0.21680944261039398,-1.0213396916065678,-0.18106895685195923,-0.9599456191062927
1773401543.1538727,-0.1905748304824051,-0.9316160434619354,-0.21680944261039398,-1.0213396916065678,-0.18102678656578064,-0.9599440693855286
1773401543.3394923,-0.19038862385371716,-0.9313013934206025,-0.21680944261039398,-1.0213396916065678,-0.18092013895511627,-0.9599601030349731
1773401543.5439498,-0.19033789821262892,-0.9310499075043892,-0.21680944261039398,-1.0213396916065678,-0.1809106171131134,-0.9599607586860657
1773401543.7475133,-0.1900414113675859,-0.9304962164176137,-0.21680944261039398,-1.0213396916065678,-0.18090566992759705,-0.9599648714065552
1773401543.9395757,-0.18998215586808598,-0.9303149586802496,-0.21680944261039398,-1.0213396916065678,-0.1809113323688507,-0.959967315196991
1773401544.1453123,-0.18991182252723768,-0.9301443684423875,-0.21680944261039398,-1.0213396916065678,-0.18092475831508636,-0.9599714875221252
1773401544.3449376,-0.1898024619785268,-0.9299807302681683,-0.21680944261039398,-1.0213396916065678,-0.18091386556625366,-0.9599593877792358
1773401544.5449305,-0.18979731700307498,-0.9298535667509187,-0.21680944261039398,-1.0213396916065678,-0.18091663718223572,-0.9599700570106506
1773401544.748208,-0.18982825286955238,-0.929744565082331,-0.21680944261039398,-1.0213396916065678,-0.18092356622219086,-0.9599660038948059
1773401544.9434996,-0.1897716052912334,-0.9296261922909652,-0.21680944261039398,-1.0213396916065678,-0.1809273511171341,-0.959968626499176
1773401545.1493156,-0.18979705903834138,-0.9295416148926711,-0.21680944261039398,-1.0213396916065678,-0.18089987337589264,-0.9599698781967163
1773401545.3488202,-0.189591655261303,-0.9291467486451249,-0.21680944261039398,-1.0213396916065678,-0.18090616166591644,-0.959970235824585
1773401545.5498102,-0.18959230437497668,-0.9290932569666251,-0.21680944261039398,-1.0213396916065678,-0.18091310560703278,-0.9599761366844177
1773401545.748026,-0.18961740402567284,-0.9290505634706503,-0.21680944261039398,-1.0213396916065678,-0.180915966629982,-0.9599714279174805
1773401545.9478133,-0.1896234517256737,-0.9290034136770832,-0.21680944261039398,-1.0213396916065678,-0.18091897666454315,-0.9599596261978149
1773401546.1528058,-0.18964596658775573,-0.9289682383186729,-0.21680944261039398,-1.0213396916065678,-0.1809181123971939,-0.9599646925926208
1773401546.402582,-0.18964965113424104,-0.9289317056306199,-0.21680944261039398,-1.0213396916065678,-0.18106600642204285,-0.959943950176239
1773401546.5481703,-0.18968331981028505,-0.9289038823879737,-0.21680944261039398,-1.0213396916065678,-0.18091604113578796,-0.9599711894989014
1773401546.8060727,-0.1896585324460378,-0.9288705245600706,-0.21680944261039398,-1.0213396916065678,-0.18107125163078308,-0.9599376320838928
1773401546.950848,-0.18966072007512028,-0.9288429112933935,-0.21680944261039398,-1.0213396916065678,-0.18093150854110718,-0.9599609375
1773401547.161812,-0.18971092574003554,-0.9288299653512712,-0.21680944261039398,-1.0213396916065678,-0.18104341626167297,-0.9599288105964661
1773401547.351153,-0.18972868486624608,-0.9288158262593416,-0.21680944261039398,-1.0213396916065678,-0.18092450499534607,-0.9599739909172058
1773401547.5573852,-0.18971331718931445,-0.9288039439497608,-0.21680872977397814,-1.021352368734925,-0.18062347173690796,-0.9612213969230652
1773401547.7609537,-0.1892199355723464,-0.9320439070889251,-0.2166232902263312,-1.0248179108686002,-0.17981000244617462,-0.9680799245834351
1773401547.9566479,-0.18892610577331634,-0.938211281207615,-0.21631642602258333,-1.03071819123948,-0.17943203449249268,-0.9731622934341431
1773401548.1584594,-0.1885897694115184,-0.9441153793213791,-0.21600718172008732,-1.0364719945023886,-0.17891821265220642,-0.979255735874176
1773401548.3811276,-0.18798415064823046,-0.9518835230784448,-0.21556025091637993,-1.0443964675647686,-0.17837783694267273,-0.9853672385215759
1773401548.55623,-0.18766628303976268,-0.9558838724345505,-0.2153324165966567,-1.0484274933597408,-0.17727671563625336,-0.9907271265983582
1773401548.9523497,-0.18694121139028083,-0.9680709330590556,-0.21462930384616585,-1.0607621871753004,-0.1764765977859497,-1.0008898973464966
1773401549.0650215,-0.18649550969816586,-0.9717561860260053,-0.21438701218576411,-1.0650777782879965,-0.1763603240251541,-1.0044389963150024
1773401549.3240075,-0.18629250562821886,-0.9792032277208971,-0.21397567472667783,-1.0726347499372948,-0.1758791208267212,-1.0117604732513428
1773401549.4136803,-0.18647187649125133,-0.9822196633305227,-0.2138260440632337,-1.0754407975404008,-0.1754848212003708,-1.0145957469940186
1773401549.5575552,-0.18644529051163533,-0.9856266081477985,-0.2136609638360727,-1.0785621481585328,-0.1752343326807022,-1.018576741218567
1773401549.7595546,-0.18612170672732714,-0.9935044628717503,-0.21325599359505576,-1.0863404931748581,-0.1745949387550354,-1.0237101316452026
1773401549.9592955,-0.18575894703877407,-0.9978815762106417,-0.2130487273558777,-1.090341447805133,-0.17354610562324524,-1.0293285846710205
1773401550.169945,-0.18554313824509816,-1.0057576443676297,-0.2126487133869498,-1.098027941986649,-0.17316904664039612,-1.0354561805725098
1773401550.375721,-0.1850905547449445,-1.012209814490827,-0.21232093179652667,-1.1043430600377213,-0.1723472625017166,-1.041801929473877
1773401550.5625129,-0.1849651321203734,-1.018447069748337,-0.21202296664854853,-1.1103097946457292,-0.17246967554092407,-1.0476412773132324
1773401550.7807074,-0.18487358553447608,-1.0245950330760512,-0.211730949504842,-1.1161480354529276,-0.17157624661922455,-1.0540473461151123
1773401550.9666893,-0.18471586817074342,-1.030921195096954,-0.21144193036058545,-1.1221982119141418,-0.17105400562286377,-1.059098482131958
1773401551.1648245,-0.1844880189546499,-1.0373526042218015,-0.2111642276611873,-1.1283527821179593,-0.1700836420059204,-1.0641200542449951
1773401551.3711038,-0.18436263549094267,-1.043334919215326,-0.21092218796853895,-1.1339973086832829,-0.16977636516094208,-1.0703223943710327
1773401551.571102,-0.18416208042258156,-1.0501908600253345,-0.2106384893992843,-1.1405320890088095,-0.16910302639007568,-1.075834035873413
1773401551.7652988,-0.18393128707235323,-1.0559452514881948,-0.21039649242588937,-1.1462250561859006,-0.16849924623966217,-1.081925630569458
1773401551.980896,-0.18365209383635328,-1.062004092799069,-0.21014502112942057,-1.152256132158354,-0.16812089085578918,-1.0880423784255981
1773401552.1682937,-0.18331160998692803,-1.0681031366676812,-0.20990520559394782,-1.1582756116859094,-0.1674119234085083,-1.0933574438095093
1773401552.367876,-0.18296499402833538,-1.0741996516493089,-0.2096738989419064,-1.1639564714457236,-0.16700834035873413,-1.0988562107086182
1773401552.5760756,-0.18258127199288396,-1.0806846623561044,-0.20941945654698235,-1.1701322398717222,-0.16584554314613342,-1.1052838563919067
