timestamp,kf_global_x,kf_global_y,gt_tb3_x,gt_tb3_y,gt_tb1_x,gt_tb1_y
1773333204.3608093,-0.656584428462326,0.42208193427631574,-0.6360083818435669,0.3982481062412262,0.006002940237522125,0.010457534343004227
1773333204.51722,-0.638607190855285,0.4235582202586831,-0.6360936760902405,0.3982822000980377,0.00601920485496521,0.010457022115588188
1773333204.9172053,-0.629043099776598,0.42603999541015825,-0.6360968351364136,0.39828863739967346,0.006016034632921219,0.010459475219249725
1773333205.3351738,-0.6265660109242832,0.43069088241535664,-0.6360929012298584,0.3982797861099243,0.006014347076416016,0.01044975221157074
1773333205.516041,-0.6225192407992939,0.4323566190083848,-0.6361492872238159,0.3982817828655243,0.005980576388537884,0.010455409064888954
1773333205.7200334,-0.6225883880045902,0.4358066312785796,-0.636152446269989,0.39827898144721985,0.0059785982593894005,0.010453445836901665
1773333205.9180636,-0.6212543112471682,0.4376791423675693,-0.6360971927642822,0.3982912003993988,0.005980528891086578,0.010454939678311348
1773333206.1287353,-0.6185390932361765,0.43800464366780795,-0.6361510157585144,0.39828407764434814,0.006021719425916672,0.010456714779138565
1773333206.3334365,-0.6162291830852579,0.4382803210314855,-0.6360947489738464,0.3982824385166168,0.006007388234138489,0.010454107075929642
1773333206.5225174,-0.6134948414550592,0.4379335527770749,-0.6361481547355652,0.39828112721443176,0.005995593965053558,0.010452734306454659
1773333206.7271516,-0.6122301686537297,0.43839715101884746,-0.6360951662063599,0.3982863426208496,0.006009738892316818,0.01046140119433403
1773333206.9233801,-0.6094094305127294,0.4376171942058836,-0.6361446380615234,0.39827993512153625,0.005990002304315567,0.010453874245285988
1773333207.136205,-0.6070868162432913,0.43702697248910394,-0.6360940337181091,0.3982863128185272,0.006026310846209526,0.010454384610056877
1773333207.5292358,-0.603647339727396,0.43562275690627833,-0.6361451745033264,0.3982835114002228,0.006005678325891495,0.010461708530783653
1773333207.7406266,-0.6028334307089432,0.4358273015701933,-0.6360966563224792,0.3982858955860138,0.006015989929437637,0.010456379503011703
1773333208.1228867,-0.5996431203918603,0.43436295481563664,-0.6361480951309204,0.398282915353775,0.0060095638036727905,0.010453557595610619
1773333208.3287244,-0.598260652257368,0.4341149155728264,-0.636150598526001,0.39828547835350037,0.006002126261591911,0.010455705225467682
1773333208.7292337,-0.5957502113431064,0.43296533566490664,-0.6361457705497742,0.39827877283096313,0.006043624132871628,0.01046491414308548
1773333208.9357157,-0.5980060262416229,0.4350851035750688,-0.6360870003700256,0.3982851505279541,0.005992628633975983,0.01045629009604454
1773333209.3280687,-0.601112444505666,0.43774687106360566,-0.6361490488052368,0.3982864320278168,0.005991209298372269,0.010450977832078934
1773333209.7280881,-0.5993879928288075,0.4370561025835522,-0.6361422538757324,0.3982760012149811,0.005982149392366409,0.010452941060066223
1773333209.933518,-0.6084994646429593,0.4439053784586178,-0.6360940933227539,0.3982831537723541,0.005994297564029694,0.010460786521434784
1773333210.1308417,-0.6070019906581667,0.443276871082086,-0.6360918283462524,0.3982876241207123,0.006005546078085899,0.01045307144522667
1773333210.5343373,-0.6075666977685557,0.4439608333595783,-0.6360927224159241,0.3982875943183899,0.0059987399727106094,0.010459214448928833
1773333210.8199635,-0.60980580473695,0.44577741014229505,-0.6360500454902649,0.39824530482292175,0.006003962829709053,0.010458286851644516
1773333210.938872,-0.6093791598514808,0.44565363633144695,-0.6361491680145264,0.39827898144721985,0.006025567650794983,0.010456221178174019
1773333211.3419633,-0.6069240474517501,0.445763263843476,-0.6361443400382996,0.3982788026332855,0.006022553890943527,0.01046345941722393
1773333211.5441496,-0.6050445763342484,0.4460233160312785,-0.6361423134803772,0.3982815444469452,0.0060271695256233215,0.010460726916790009
1773333211.758233,-0.6124933099323069,0.4514859457137473,-0.6366657018661499,0.3984632194042206,0.006019057705998421,0.010452529415488243
1773333212.1612978,-0.6091794601301548,0.44944800305048405,-0.6367244124412537,0.39961686730384827,0.006017938256263733,0.01045507937669754
1773333212.3649595,-0.6058629887727757,0.4484634361006145,-0.6362974047660828,0.4002636969089508,0.006022600457072258,0.010454706847667694
1773333212.5518353,-0.609689017544938,0.45184946808495297,-0.6362401843070984,0.4008517563343048,0.005985093303024769,0.010461121797561646
1773333212.755487,-0.6064051268606561,0.44976660617019587,-0.6363791227340698,0.4014965295791626,0.006006017327308655,0.01045750081539154
1773333212.9432902,-0.6084567946119973,0.4514919109618051,-0.6363216042518616,0.40208321809768677,0.006001114845275879,0.010459572076797485
1773333213.1460085,-0.6078293418943082,0.4513369342168042,-0.6360435485839844,0.4027678072452545,0.00599890761077404,0.010453073307871819
1773333213.7770808,-0.6078567286073159,0.45171567609984736,-0.635551929473877,0.4057002067565918,0.0060054343193769455,0.01045365259051323
1773333213.9490747,-0.6086319073440635,0.4533810914271918,-0.6347583532333374,0.4058765172958374,0.006005913019180298,0.010456619784235954
1773333214.1535656,-0.6141067959855618,0.4574162041738642,-0.6357244253158569,0.4048272967338562,0.006008420139551163,0.010450156405568123
1773333214.3472636,-0.6153286209855249,0.4584441796198751,-0.6362638473510742,0.4029940366744995,0.005996286869049072,0.01045399159193039
1773333214.58893,-0.6145174230365555,0.4588287906981088,-0.6364272236824036,0.4011334478855133,0.005986729636788368,0.010451244190335274
1773333215.152359,-0.6178149362708949,0.46143150295972424,-0.6343739628791809,0.4025092124938965,0.006010724231600761,0.010453518480062485
1773333215.7568796,-0.6229568334397951,0.4667979262281167,-0.6319155693054199,0.40528836846351624,0.00600416399538517,0.010456675663590431
1773333216.107232,-0.6178627548294714,0.4646579540506354,-0.6306965351104736,0.40696001052856445,0.0060022566467523575,0.010464053601026535
1773333223.7783825,-0.5881776404285193,0.46250401637110555,-0.6117986440658569,0.40885165333747864,0.006013954058289528,0.010460158810019493
1773333223.9998162,-0.5788709902195848,0.46720681133692016,-0.6117703318595886,0.4089038074016571,0.006022220477461815,0.010455066338181496
1773333224.1795928,-0.5731647000489358,0.4704266656551668,-0.611801266670227,0.40886279940605164,0.005997473374009132,0.010451408103108406
1773333224.7835007,-0.5711035703690039,0.4747097373632437,-0.6117994785308838,0.40885815024375916,0.006007572636008263,0.010462140664458275
1773333225.5894508,-0.5774576243428793,0.4756028339397289,-0.6141992211341858,0.3991859257221222,0.006001325324177742,0.010455690324306488
1773333226.38863,-0.5818318975281707,0.45247593333029257,-0.6208776235580444,0.3763290345668793,0.006012625992298126,0.01045723631978035
1773333227.4385564,-0.5924113260967948,0.4295769740455216,-0.6278880834579468,0.3462640345096588,0.006021479144692421,0.010455098003149033
1773333227.5646896,-0.5899979954451886,0.42601350142160815,-0.6281288862228394,0.34301134943962097,0.006019866093993187,0.010455897077918053
1773333227.798023,-0.5903454533931044,0.41850274839418106,-0.6300615072250366,0.33656567335128784,0.006020758301019669,0.010461313650012016
1773333228.2173917,-0.5969569753154235,0.40872764077475227,-0.6315719485282898,0.3257277011871338,0.006020978093147278,0.010451318696141243
1773333228.6606417,-0.5974859588999962,0.39630762492321225,-0.6326552629470825,0.3124082684516907,0.006030930206179619,0.010457402095198631
