timestamp,kf_x,kf_y,ekf_raw_x,ekf_raw_y,gt_x,gt_y,gt_tb1_x,gt_tb1_y
1773916528.7924092,0.6083481145049771,-0.24410552114834413,0.5986849046003071,-0.22910299744054963,0.514404833316803,-0.2553408443927765,-0.28686612844467163,-0.11370684951543808
1773916529.197648,0.6179667805573699,-0.2585297627811461,0.598684903229256,-0.22910300773502912,0.5144048929214478,-0.25535401701927185,-0.28687581419944763,-0.11369898915290833
1773916529.4355,0.6272674436480677,-0.272079315906664,0.598684903229256,-0.22910300773502912,0.5144563913345337,-0.2553296685218811,-0.2869020700454712,-0.1137753501534462
1773916529.5969825,0.6352860582863545,-0.2842028332752782,0.598684903229256,-0.22910300773502912,0.5144104957580566,-0.255341500043869,-0.286906361579895,-0.1133977398276329
1773916529.7975423,0.642498712479709,-0.29531892870465226,0.5986834175168283,-0.22911416478989022,0.5143998265266418,-0.25534486770629883,-0.2869012951850891,-0.11340209096670151
1773916529.9964612,0.6497859323627933,-0.3059697155139615,0.5986834175153479,-0.22911416480100288,0.514403760433197,-0.2553475797176361,-0.2869168221950531,-0.11340175569057465
1773916530.19798,0.6559316353576009,-0.31552930866381634,0.5986838101621988,-0.2291112194875895,0.514404833316803,-0.25534379482269287,-0.2869103252887726,-0.1133803054690361
1773916530.3977525,0.661925102025588,-0.3245856892086502,0.5986838086884582,-0.22911123055306626,0.5144170522689819,-0.25534260272979736,-0.28691160678863525,-0.11336684972047806
1773916530.600914,0.6683169999275593,-0.33349064003266027,0.5986838086884582,-0.22911123055306626,0.5143944621086121,-0.2553393840789795,-0.2868627905845642,-0.11369486153125763
1773916530.8010151,0.6732892866342739,-0.3412986377222749,0.5986838086884582,-0.22911123055306626,0.5144192576408386,-0.25533074140548706,-0.28687673807144165,-0.11369911581277847
1773916531.0020723,0.6784178484014292,-0.34887889530512367,0.5986838086884582,-0.22911123055306626,0.5144108533859253,-0.2553510069847107,-0.2868857681751251,-0.1137201264500618
1773916531.2010093,0.6820176543321307,-0.35535393067726856,0.5986838086884582,-0.22911123055306626,0.5144092440605164,-0.2553415596485138,-0.28688013553619385,-0.1136976107954979
1773916531.4018066,0.6869561930657911,-0.3623095464806687,0.5986838086884582,-0.22911123055306626,0.5144174695014954,-0.2553442120552063,-0.28687620162963867,-0.11370688676834106
1773916531.602722,0.6908625721626636,-0.3684340917065488,0.5986838086884582,-0.22911123055306626,0.5144092440605164,-0.25513550639152527,-0.2868727743625641,-0.1137150228023529
1773916531.8056319,0.6950682738980559,-0.37382443541667365,0.5987755017587826,-0.22842758386519768,0.5151045918464661,-0.25148722529411316,-0.2868778109550476,-0.1136944591999054
1773916532.00482,0.6999693342899003,-0.37462248743764587,0.5994453156588717,-0.22342642141274793,0.5161375999450684,-0.24405281245708466,-0.2869260907173157,-0.11338966339826584
1773916532.2047057,0.7046854094641037,-0.3723853283481816,0.6004594641960133,-0.21582881446078628,0.5167713165283203,-0.23675444722175598,-0.2869304120540619,-0.11339292675256729
1773916532.405295,0.7102700656504626,-0.3702921980449694,0.6014606913515049,-0.20809406085128757,0.5174277424812317,-0.2288091778755188,-0.28691229224205017,-0.1133979856967926
1773916532.8063738,0.7166529223991169,-0.3599250798869762,0.6031931616423674,-0.19202214649771499,0.519868791103363,-0.2136998176574707,-0.2869131863117218,-0.11335408687591553
1773916533.007201,0.7218388513305156,-0.3569945957788301,0.6037384748525276,-0.1835715299106888,0.5206088423728943,-0.20748114585876465,-0.2869158387184143,-0.1133652925491333
1773916533.2074723,0.727302700628755,-0.3548555561883532,0.6038806186292383,-0.17569862753708176,0.5215985178947449,-0.20062905550003052,-0.2869042456150055,-0.11339449882507324
1773916533.6087694,0.7305039905620953,-0.34162419451845183,0.6028277507645194,-0.15758934059292695,0.5217949748039246,-0.1816955953836441,-0.28691795468330383,-0.11336643248796463
1773916533.8095946,0.7335542439774045,-0.33469392010470034,0.601073734317533,-0.14549302415415322,0.5211314558982849,-0.17163480818271637,-0.2869205176830292,-0.11341986060142517
1773916534.0115964,0.7370431951233196,-0.3287027773246061,0.5988772824253679,-0.13437278359251126,0.5190528035163879,-0.15984298288822174,-0.286871999502182,-0.11370386928319931
1773916534.210621,0.739990515949626,-0.32194580681472124,0.5959988123421709,-0.12295335682011599,0.516887903213501,-0.14900054037570953,-0.28686457872390747,-0.11371487379074097
1773916534.4110253,0.7394058749582505,-0.3136726750281059,0.5923432056109988,-0.11091634720202448,0.5148336291313171,-0.13889512419700623,-0.28687453269958496,-0.11370188742876053
1773916534.6132817,0.73933417395735,-0.306120567782102,0.5884635994550571,-0.09968509756554478,0.510551393032074,-0.12764763832092285,-0.2868858873844147,-0.11371853202581406
1773916534.814659,0.7390094894140197,-0.2984783974503724,0.5841435052765889,-0.08829308412964454,0.5061952471733093,-0.11641307175159454,-0.28689995408058167,-0.1133710965514183
1773916535.0132427,0.7392915653816856,-0.29017384814423985,0.5791903569673063,-0.07611288565488938,0.5014639496803284,-0.10490374267101288,-0.2869139313697815,-0.11338253319263458
1773916535.2141485,0.7371606076443552,-0.28011476212302056,0.5736582213155742,-0.0631521125670449,0.49528372287750244,-0.091851606965065,-0.28692522644996643,-0.11339268833398819
1773916535.4139545,0.7346445022937429,-0.2691653467736561,0.5675369929188665,-0.049403111451077564,0.488535076379776,-0.07761656492948532,-0.28692248463630676,-0.11339513957500458
1773916535.6148107,0.732451759247514,-0.25679485563761045,0.5602547919987787,-0.03379255613520593,0.48115259408950806,-0.06223885715007782,-0.28690242767333984,-0.11337894201278687
1773916535.8157988,0.7284762506735485,-0.2428783006486885,0.5521073661537943,-0.016908641577768835,0.47319236397743225,-0.04578497260808945,-0.28691449761390686,-0.11337622255086899
1773916536.0165925,0.7238155685783775,-0.22731086888700455,0.5428825524156441,0.0011938787871734746,0.4638230502605438,-0.029879439622163773,-0.28691333532333374,-0.11339021474123001
1773916536.217192,0.7184841486072682,-0.2114922351439858,0.5330882352404809,0.01955507953051061,0.4551582336425781,-0.012506899423897266,-0.2869133949279785,-0.11338484287261963
1773916536.417464,0.714529968486474,-0.19795146443051123,0.523763778034587,0.03549400539700631,0.4460265040397644,0.0016369135119020939,-0.28690338134765625,-0.11338672041893005
1773916536.6181047,0.7082916098744727,-0.18257491061598735,0.5126503395642849,0.052953721838241874,0.4364490807056427,0.018074700608849525,-0.28691565990448,-0.11339496076107025
1773916536.8191938,0.7010919475000558,-0.1679539109419143,0.5007546546900112,0.06964932644058264,0.42511114478111267,0.033493489027023315,-0.28691914677619934,-0.11340626329183578
1773916537.019429,0.6910329136720079,-0.1507478838953271,0.48495608320201944,0.08894303430496797,0.4133024215698242,0.048187412321567535,-0.28693097829818726,-0.11340006440877914
1773916537.2214835,0.6838539725936227,-0.13684782839243528,0.47029514880065026,0.10480263576521476,0.39979666471481323,0.062428127974271774,-0.2868957817554474,-0.11369877308607101
1773916537.4218216,0.6743465699218781,-0.12438421170374726,0.4554946061779348,0.11927769642479236,0.3871007263660431,0.07621931284666061,-0.28692054748535156,-0.11338385939598083
1773916537.6213493,0.6639864416160908,-0.11076520724190371,0.43874026941048,0.1342070153917274,0.3692358434200287,0.09207525849342346,-0.28688761591911316,-0.113703653216362
1773916537.8235483,0.6498946438570229,-0.09484090442683508,0.417219952604686,0.15159106266683287,0.3514978587627411,0.10576127469539642,-0.2869149446487427,-0.11339360475540161
1773916538.0227952,0.6362881592450289,-0.08097877872218534,0.39734007851409037,0.16644013071831743,0.33114883303642273,0.1209038719534874,-0.28691598773002625,-0.1133883073925972
1773916538.225359,0.6170552952704906,-0.06384821326040419,0.3709129262637927,0.18426068051996447,0.3074556589126587,0.1368776261806488,-0.2869255840778351,-0.1133662611246109
1773916538.4238846,0.5969739734024185,-0.04808456729762301,0.344015464941169,0.20046601132385455,0.28122803568840027,0.15220800042152405,-0.2869104743003845,-0.11338742822408676
1773916538.6252644,0.5742920576254532,-0.032244895106751104,0.3139387149950661,0.2164657884881369,0.25416451692581177,0.16611777245998383,-0.28692156076431274,-0.11337866634130478
1773916538.825851,0.549896123151313,-0.0173199551971853,0.2824074026934156,0.23141535883739417,0.22635777294635773,0.17938068509101868,-0.28690066933631897,-0.11341945827007294
