timestamp,robot_id,x,y,v_cmd,w_cmd
1777389927.2052803,tb7,-3.4077245091735095e-06,-0.49999999997310784,-0.05624217891890877,1.5
1777389927.2150238,tb2,-1.5000034077245095,-1.9999999999731086,0.18,1.2631770765268577
1777389927.2552476,tb7,-0.0007293931783756935,-0.5000119468377245,-0.051459511193379305,1.5
1777389927.2649848,tb2,-1.500013622229204,-1.9999996199020669,0.18,1.224583608574886
1777389927.3053718,tb7,-0.0040450136683243725,-0.5002173736509749,-0.03752299430088005,1.5
1777389927.3151054,tb2,-1.4981220909603192,-1.9998984000744844,0.18,1.068088687199604
1777389927.3554103,tb7,-0.0040450136683243725,-0.5002173736509749,-0.03752299430088005,1.5
1777389927.3650737,tb2,-1.4937028736038716,-1.9994187370231793,0.18,0.9394818340241029
1777389927.4052796,tb7,-0.006737164823033817,-0.5005815744836997,-0.023958951434510843,1.5
1777389927.4168139,tb2,-1.4867878157322452,-1.998313323325128,0.18,0.8352605816860574
1777389927.4555306,tb7,-0.00923838133104636,-0.5011116611146484,-0.010359262785716186,1.5
1777389927.465013,tb2,-1.4867878157322452,-1.998313323325128,0.18,0.8358911953847947
1777389927.5052729,tb7,-0.01095730696023333,-0.5015991511604284,0.0031149475330913457,1.5
1777389927.515185,tb2,-1.4786224058077293,-1.9965682402940315,0.18,0.7506763091430358
1777389927.555433,tb7,-0.012261401770633005,-0.5014730368891348,0.016635832951303726,1.5
1777389927.5652347,tb2,-1.4713355851451921,-1.9945982768553956,0.18,0.6678557976944878
1777389927.605353,tb7,-0.013762029364576775,-0.5012680690586296,0.030800566186078713,1.5
1777389927.6150458,tb2,-1.4641415163149658,-1.992651994921907,0.18,0.5873520039539034
1777389927.6552176,tb7,-0.015433790402914226,-0.5011516383616885,0.04590125169785739,1.5
1777389927.6650593,tb2,-1.4570384465713,-1.9907353060037352,0.18,0.5088250043865162
1777389927.705341,tb7,-0.015433790402914226,-0.5011516383616885,0.04590125169785739,1.5
1777389927.7151034,tb2,-1.4490514868620175,-1.9878958669150657,0.18,0.43264884458057623
1777389927.7552967,tb7,-0.015858650244485767,-0.5007168312864179,0.06162379335795041,1.5
1777389927.765195,tb2,-1.4490514868620175,-1.9878958669150657,0.18,0.43264884458057623
1777389927.8053968,tb7,-0.014486406842244027,-0.4996263996303314,0.07779745582495627,1.5
1777389927.8151317,tb2,-1.4412865714606804,-1.9845028977366836,0.17999999999999997,0.3580339811792238
1777389927.855296,tb7,-0.01250033801065544,-0.4977967386964162,0.09544734627305396,1.5
1777389927.8651028,tb2,-1.4337742192995448,-1.9808932015691645,0.18,0.2849471012727435
1777389927.9054074,tb7,-0.010023375544965563,-0.4951599779508506,0.11531407420548781,1.5000000000000002
1777389927.9152372,tb2,-1.4253632075609577,-1.9764140842438447,0.18,0.21437027766290892
1777389927.955428,tb7,-0.00713985905830896,-0.49159953980093285,0.13804506679535858,1.5
1777389927.9659355,tb2,-1.4175074143694328,-1.9717934150349157,0.18,0.1452375140129705
1777389928.0052617,tb7,-0.00713985905830896,-0.49159953980093285,0.13804506679535858,1.5
1777389928.0149877,tb2,-1.4102636993739257,-1.9671547416085924,0.18,0.07771058567506295
1777389928.0553796,tb7,-0.0037778554612169237,-0.4867459713769257,0.16460804174117105,1.5
1777389928.0651174,tb2,-1.4102636993739257,-1.9671547416085924,0.18,0.07771058567506295
