timestamp,robot_id,x,y,v_cmd,w_cmd
1777044010.9799635,tb2,-0.5000034077245092,2.6892268613626897e-11,0.06575424701820586,-1.5
1777044011.029975,tb2,-0.5000116157130614,-7.565273129257614e-08,0.06668910583195632,-1.5
1777044011.0799773,tb2,-0.4981050840793248,-8.668662271422809e-05,0.08267311122393685,-1.5
1777044011.1300359,tb2,-0.49401537490965314,-0.0005259517508509254,0.10307120287657384,-1.5
1777044011.1800883,tb2,-0.48915437195339667,-0.0014229645959669272,0.12664612648664836,-1.5
1777044011.2299895,tb2,-0.4834961280547541,-0.003018941107058638,0.15496620759674254,-1.5
1777044011.2799253,tb2,-0.4782884098964415,-0.005240383590954079,0.18,-1.4154607229796652
1777044011.3299203,tb2,-0.4782884098964415,-0.005240383590954079,0.18,-1.4088843607832466
1777044011.3800788,tb2,-0.4782884098964415,-0.005240383590954079,0.18,-1.4023032242616522
1777044011.4299998,tb2,-0.47326136130487745,-0.007395021737311459,0.18,-1.1261228169196253
1777044011.4800043,tb2,-0.4684078151682386,-0.009466014701222384,0.18,-0.8841103491989958
1777044011.5300202,tb2,-0.46053808263428464,-0.014163746776468391,0.18,-0.6588542522478693
1777044011.5799646,tb2,-0.4551853727534409,-0.018052913366017533,0.18,-0.45217821666215646
1777044011.6299207,tb2,-0.44698037183573447,-0.025078499594806652,0.18,-0.2478759126752098
1777044011.6799517,tb2,-0.44045021328596273,-0.03132112007231862,0.18,-0.054178103247973515
1777044011.730088,tb2,-0.43653259670407435,-0.035817783741915785,0.18,0.13169024548929012
1777044011.780024,tb2,-0.43653259670407435,-0.035817783741915785,0.18,0.1376423874233638
1777044011.8300626,tb2,-0.427967777087601,-0.04683663883037534,0.18,0.3467728635988612
1777044011.8799376,tb2,-0.42600683107312803,-0.04978708201360549,0.18,0.5308123973116459
1777044011.930059,tb2,-0.4183616658294891,-0.06316466077455316,0.18,0.7678343252486536
1777044011.9801059,tb2,-0.4183616658294891,-0.06316466077455316,0.18,0.7760550857727072
1777044012.0300088,tb2,-0.4183616658294891,-0.06316466077455316,0.18,0.7843101928440083
1777044012.080054,tb2,-0.4176371560635541,-0.06464169398112471,0.18,0.9808912174043047
1777044012.1299977,tb2,-0.41173534587062555,-0.07885835426966444,0.18,1.2664480155148599
1777044012.1800363,tb2,-0.4114120746490095,-0.07947599151505148,0.18,1.4930813140057257
1777044012.2299762,tb2,-0.4108888295250148,-0.07984608073503457,0.15460413136456735,1.5
1777044012.2800803,tb2,-0.40817748029515954,-0.09214863786063408,0.1249814957003385,1.5
1777044012.3303478,tb2,-0.4052176117506204,-0.10913399403894565,0.09801450030366629,1.5
1777044012.331271,tb1,-0.5211468128798861,1.3263466683596892,-0.04759066489393895,-1.5
1777044012.3712,tb3,-0.3017048057341039,0.4651845078449222,-0.18,-0.2799984303079872
1777044012.3800044,tb2,-0.40454234513176757,-0.11407368087110739,0.08115344442909674,1.5
1777044012.3813193,tb1,-0.5211489862849421,1.3261809079569267,-0.04735569916177972,-1.5
1777044012.421191,tb3,-0.30120185433368596,0.46501758370446217,-0.18000000000000002,-0.28957418859934025
1777044012.4300094,tb2,-0.40478657905260285,-0.1091831732130419,0.0706924053766796,1.5
1777044012.431308,tb1,-0.5211518674028077,1.3259580213917896,-0.04695153838683814,-1.5
1777044012.471218,tb3,-0.29286172413889167,0.46218940579172646,-0.18000000000000002,-0.2959673434434203
1777044012.4800324,tb2,-0.4049289339760168,-0.12348238582780026,0.051842068349202804,1.5
1777044012.4812903,tb1,-0.5211824189361777,1.3249661185252246,-0.03806034594306633,-1.5
1777044012.521105,tb3,-0.28453893795953233,0.4592301024991432,-0.18,-0.32510675836412933
1777044012.5300071,tb2,-0.4045965504755302,-0.1188658880611707,0.042956559071894884,1.5
1777044012.5312343,tb1,-0.5213107442233118,1.323594755238797,-0.026003556390595872,-1.5
1777044012.5713122,tb3,-0.28453893795953233,0.4592301024991432,-0.18,-0.32944053747362734
1777044012.5799828,tb2,-0.40511360076531777,-0.12238691350040304,0.030976331288462066,1.5
1777044012.5811865,tb1,-0.5214462967951047,1.3227780821113158,-0.014381689277111486,-1.5
1777044012.6212406,tb3,-0.27626835349836654,0.45614407868091145,-0.18,-0.3518471898238532
1777044012.6299324,tb2,-0.40528757834913853,-0.12424010471962067,0.020452813105906954,1.5
1777044012.6311615,tb1,-0.5214874541102323,1.3225852132385287,-0.0029169571056072824,-1.5
1777044012.6712615,tb3,-0.2680469752839885,0.45292127497661255,-0.17999999999999997,-0.3780242739369799
1777044012.6801226,tb2,-0.40528757834913853,-0.12424010471962067,0.01963248202284279,1.5
1777044012.6813562,tb1,-0.5214874541102323,1.3225852132385287,-0.0026533093446167734,-1.5
1777044012.7214181,tb3,-0.2680469752839885,0.45292127497661255,-0.18,-0.3823634733997038
1777044012.730017,tb2,-0.40528757834913853,-0.12424010471962067,0.018815309077975902,1.5
1777044012.7312753,tb1,-0.5214874541102323,1.3225852132385287,-0.0023911933110931974,-1.5
1777044012.7712457,tb3,-0.2680469752839885,0.45292127497661255,-0.18,-0.3866793473653526
1777044012.7800596,tb2,-0.40528757834913853,-0.12424010471962067,0.017993973202621368,1.5
1777044012.7816646,tb1,-0.5213447974628674,1.322983064729314,0.009171664180111432,-1.5
1777044012.8212452,tb3,-0.2598871645003573,0.44955948053308187,-0.18,-0.42065307352092723
1777044012.83003,tb2,-0.40493954520955944,-0.12202274888102442,0.009622642060899684,1.5
1777044012.8312755,tb1,-0.5213447974628674,1.322983064729314,0.009353659974048694,-1.5
1777044012.8712423,tb3,-0.2518008416655376,0.44604850138439545,-0.18,-0.4510666158731591
1777044012.8800182,tb2,-0.4058157301903102,-0.12592730231696053,-0.0010427978478513562,1.5
1777044012.88129,tb1,-0.5209277633286313,1.323944774654541,0.020841679088222313,-1.5
1777044012.9213092,tb3,-0.24379699524789708,0.44237559614937116,-0.18,-0.49383060459833544
1777044012.9300847,tb2,-0.405016533763376,-0.12286820940822925,-0.00827307259165448,1.5000000000000002
1777044012.931369,tb1,-0.5203945346209389,1.3249631686310048,0.032739655901489896,-1.5
1777044012.9712925,tb3,-0.23588539574127698,0.4385294080296409,-0.18,-0.53459477326858
1777044012.9800434,tb2,-0.40549596081337463,-0.1246379290075207,-0.01741101558963433,1.5
1777044012.981365,tb1,-0.519483539502894,1.3264217639699756,0.0449601750323901,-1.5
1777044013.021201,tb3,-0.22808184409627272,0.43449815301741684,-0.18,-0.5920062764903777
1777044013.030086,tb2,-0.40241549258999504,-0.11876414312431463,-0.022560567934225114,1.5
1777044013.0312607,tb1,-0.5180920218930191,1.3283148511683636,0.05789185400423874,-1.5
1777044013.0711813,tb3,-0.22040314562488622,0.4302686932969698,-0.18,-0.6559780735450871
1777044013.0800085,tb2,-0.3993046561570009,-0.11282751850705677,-0.02777069220560911,1.5
1777044013.0812483,tb1,-0.5161136949011373,1.3306167923846826,0.07161119003240939,-1.5
1777044013.1211717,tb3,-0.2128713565329529,0.4258254097920299,-0.18,-0.7311110007667679
1777044013.12999,tb2,-0.3954726423188502,-0.10448354612272472,-0.03178859343097646,1.5
