timestamp,robot_id,x,y,v_cmd,w_cmd
1777473870.3114321,tb2,0.4385105112268013,-1.6105962274460273,0.056131261510633475,1.5
1777473870.3614051,tb2,0.4386340515932637,-1.6106032770935403,0.06210117243817638,1.5
1777473870.4117887,tb2,0.44071951793829267,-1.6106397259426166,0.07725959257327246,1.5000000000000002
1777473870.461356,tb2,0.44366513281565434,-1.6104737973703693,0.09391258558073105,1.5
1777473870.5116642,tb2,0.44366513281565434,-1.6104737973703693,0.09379376704493249,1.5
1777473870.5615525,tb2,0.44742419774726494,-1.6099763460288938,0.11248972459401464,1.5
1777473870.6115541,tb2,0.45124341335069357,-1.6090962459164457,0.13413143680087367,1.5
1777473870.6615226,tb2,0.45439448756226025,-1.6076375795286872,0.16017014455408324,1.5
1777473870.7115412,tb2,0.45736158486685635,-1.6062362489384814,0.18,1.4052413840311884
1777473870.7617059,tb2,0.46015104658762845,-1.6049094250494123,0.18,1.1587210198834452
1777473870.81147,tb2,0.4663005155991135,-1.601517740230922,0.18,0.9343724170964212
1777473870.8615153,tb2,0.4722571075881108,-1.5976274915207482,0.18,0.7265655856090915
1777473870.9115942,tb2,0.48092507106049326,-1.5910314119255613,0.18,0.5226335404168648
1777473870.961492,tb2,0.4850835175500263,-1.5873845428505517,0.18,0.3358198595705966
1777473871.0115476,tb2,0.4936483238943568,-1.5786428733677906,0.18,0.1320568646775053
1777473871.0614479,tb2,0.49687126161213707,-1.574884580294798,0.18,-0.050010395136982695
1777473871.1115222,tb2,0.5047204326154533,-1.564282647522936,0.18,-0.27599679629594637
1777473871.1614811,tb2,0.5081420627478126,-1.558739259358009,0.18,-0.48242151360533536
1777473871.2115726,tb2,0.5125357903973823,-1.5509583669471865,0.18,-0.7238834336645643
1777473871.2614439,tb2,0.5179919374929964,-1.539209732024006,0.18,-1.0486968440134965
1777473871.311347,tb2,0.5179349312722205,-1.539630007772121,0.18,-1.24289010252253
1777473871.3613975,tb2,0.5178102174282606,-1.5404203016712876,0.18,-1.446950064366821
1777473871.4114745,tb2,0.5178102174282606,-1.5404203016712876,0.18,-1.4432806324035699
1777473871.4615793,tb2,0.5211606976325407,-1.5273863758189763,0.13542479706203767,-1.5
1777473871.511638,tb2,0.5236231885907517,-1.5174649012604504,0.10002928662018803,-1.5
1777473871.561551,tb2,0.5244057841461748,-1.511165971599144,0.07612724956688448,-1.5
1777473871.6117375,tb2,0.5248261464863309,-1.5080684785212488,0.06029205416241206,-1.5
1777473871.6282248,tb3,0.656886979696547,-1.254569586519559,0.03466913620269659,1.5
1777473871.6286922,tb1,0.5002349211104985,-0.9402327895897714,0.18,0.7563096704061134
1777473871.6615086,tb2,0.5251586267607532,-1.4991748064825872,0.03762061680826029,-1.5
1777473871.6783712,tb3,0.6572174439063682,-1.2545433607716472,0.04156967877180428,1.5
1777473871.6791854,tb1,0.5006439471548819,-0.9396555304183605,0.18,0.6966479586662485
1777473871.711482,tb2,0.5251026051639376,-1.5002230610759133,0.0322624302847487,-1.5
1777473871.7283237,tb3,0.6572174439063682,-1.2545433607716472,0.0412737769419916,1.5
1777473871.728846,tb1,0.5006439471548819,-0.9396555304183605,0.18,0.7019773145966943
1777473871.7614486,tb2,0.5251080632498736,-1.4981430018289394,0.025079404977773972,-1.5
1777473871.7783294,tb3,0.658594279089861,-1.25438323758193,0.05371587529553487,1.5
1777473871.778839,tb1,0.5024196736642377,-0.9370166184679126,0.18,0.6285796765784553
1777473871.8115356,tb2,0.5248011949627209,-1.4941041592282684,0.01798723598177183,-1.5
1777473871.8282783,tb3,0.6599813366658847,-1.254119962572541,0.06676983660745862,1.5
1777473871.828737,tb1,0.5054284814885603,-0.9322079961271962,0.18,0.5570711546624523
1777473871.861515,tb2,0.5245289950007166,-1.4919533563763814,0.01639906015862741,-1.5
1777473871.8783777,tb3,0.6619089042560502,-1.253604344784278,0.08073640883303898,1.5
1777473871.8788302,tb1,0.5094985099046239,-0.9252106050491488,0.18,0.4910790884628836
1777473871.911732,tb2,0.5244834042990963,-1.4916947950941413,0.018616947558454573,-1.5
1777473871.928349,tb3,0.6644329236374421,-1.2527238862585341,0.09595621435540581,1.5
1777473871.9288597,tb1,0.5136802553884032,-0.9175227470969858,0.18,0.4310326003343483
1777473871.961425,tb2,0.5262791691447878,-1.4967481209286582,0.027938598440094622,-1.5
1777473871.9783826,tb3,0.6675682259763159,-1.251358665537439,0.11302666585129532,1.5
1777473871.9787045,tb1,0.5176742940128558,-0.9097079420741979,0.18,0.372654969705405
1777473872.011501,tb2,0.5266857798479273,-1.4964632692926114,0.02997662915574471,-1.5
1777473872.0283756,tb3,0.6713052179565221,-1.2493847178349382,0.13192104420035816,1.5
1777473872.0287955,tb1,0.5215015399557064,-0.901786618971338,0.18,0.3266211937812815
1777473872.0614376,tb2,0.5260482312316179,-1.4932348763227272,0.028626945899753058,-1.5
1777473872.078277,tb3,0.6756290621229565,-1.2466655743831354,0.15336324242806135,1.5
1777473872.0788157,tb1,0.5251829944236533,-0.8937748261772148,0.18,0.2792452596431357
1777473872.1114397,tb2,0.5257969232550671,-1.4924787991983468,0.030462978100845105,-1.5
1777473872.1285276,tb3,0.6805513265525289,-1.2430237011980652,0.1786798394757721,1.5
1777473872.1288552,tb1,0.5287360727333625,-0.8856884199052956,0.18,0.23294508813392553
1777473872.161515,tb2,0.5251814012825238,-1.4901271077289517,0.03064350890869629,-1.5
1777473872.1784625,tb3,0.6860431429020495,-1.238279399077865,0.18,1.2914605847757759
1777473872.1787562,tb1,0.5320614274250417,-0.8777562147655509,0.18,0.19633525447118788
1777473872.2113795,tb2,0.5242723658350984,-1.4872432236230546,0.03012311091898994,-1.5
1777473872.228559,tb3,0.6909909211610911,-1.2327782565896899,0.18,1.0924763371385404
1777473872.2288923,tb1,0.5349626440936497,-0.8705325140123588,0.18,0.1672947329111756
1777473872.261516,tb2,0.5246294875923067,-1.4882817647414268,0.028757808232467215,-1.5
1777473872.2783194,tb3,0.6955823969024598,-1.2274341524280612,0.18,0.9082870546082505
1777473872.2787442,tb1,0.5378429610680682,-0.8633602784389611,0.18,0.13273461291945135
1777473872.3115792,tb2,0.5246294875923067,-1.4882817647414268,0.033692167238587006,-1.5
1777473872.3282726,tb3,0.7000540464550424,-1.2222408980408603,0.18000000000000002,0.7427548222473022
1777473872.3286746,tb1,0.5407722574907312,-0.8559805238831383,0.18,0.10794418078676994
1777473872.3615274,tb2,0.5222810733922857,-1.4809638426998621,0.02904953514990096,-1.5
1777473872.3783495,tb3,0.7051862048452001,-1.214763660201107,0.18,0.5868972600675523
1777473872.378749,tb1,0.543858582891144,-0.8476150140178768,0.18,0.09061139051657464
1777473872.411585,tb2,0.5198564163419955,-1.473115563359342,0.024884012527589178,-1.5
1777473872.4283211,tb3,0.7075207278783697,-1.2103384277246048,0.18,0.4381231345472121
1777473872.4287837,tb1,0.5469133798187484,-0.8391688682649598,0.18,0.06825502052277992
1777473872.4615397,tb2,0.5189811641334532,-1.4703887428938953,0.02615424179781577,-1.5
1777473872.4783108,tb3,0.7124950671039328,-1.1990060798271327,0.18,0.290526925296932
1777473872.4788158,tb1,0.5499340491839427,-0.8307069138280323,0.18,0.06339779190635872
1777473872.511502,tb2,0.5188620586280934,-1.4699169405568764,0.040804197826449874,-1.5
1777473872.5283022,tb3,0.7141383950420784,-1.1943046293885293,0.18,0.15240549292995448
1777473872.5289638,tb1,0.5529255826634117,-0.8222376102517678,0.18,0.0435071467591712
1777473872.561497,tb2,0.5183504070845033,-1.467913033456405,0.056627257551030104,-1.5
1777473872.5784512,tb3,0.7141383950420784,-1.1943046293885293,0.17999999999999997,0.1572969707189976
